phase,sector,equilibrium_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
308,neutral,0.860000,0.812112,0.964407,0.830198,0.922540,0.130000,0.964095,0.000000
309,projection,1.000000,0.943549,0.963920,0.964896,0.921732,0.130000,0.963613,0.000000
309,antisymmetry,0.960000,0.905807,0.963920,0.926300,0.921732,0.130000,0.963613,0.000000
309,neutral,0.860000,0.811452,0.963920,0.829810,0.921732,0.130000,0.963613,0.000000
310,projection,1.000000,0.942791,0.963437,0.964449,0.920935,0.130000,0.963135,0.000000
310,antisymmetry,0.960000,0.905079,0.963437,0.925871,0.920935,0.130000,0.963135,0.000000
310,neutral,0.860000,0.810800,0.963437,0.829426,0.920935,0.130000,0.963135,0.000000
311,projection,1.000000,0.942042,0.962958,0.964007,0.920148,0.130000,0.962664,0.000000
311,antisymmetry,0.960000,0.904360,0.962958,0.925447,0.920148,0.130000,0.962664,0.000000
311,neutral,0.860000,0.810156,0.962958,0.829046,0.920148,0.130000,0.962664,0.000000
