depth,sector,condition,compression_survival_fraction,emergence_reconstruction_fidelity,minimal_architecture_score,generalization_consistency,recursive_information_efficiency,compression_degradation_bound,structural_redundancy_index,compression_ratio,base_emergence,compressed_emergence,classification
2,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
4,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
6,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
8,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
12,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
16,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
20,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
24,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
32,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
40,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
48,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
64,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
80,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
96,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
128,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
160,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
192,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
256,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
320,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
512,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
768,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
1024,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
1536,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
2048,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
3072,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
4096,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
6144,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
8192,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
12288,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9567,0.9513,COMPRESSION-STABLE
16384,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9566,0.9513,COMPRESSION-STABLE
24576,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9566,0.9512,COMPRESSION-STABLE
32768,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9566,0.9512,COMPRESSION-STABLE
65536,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9565,0.9511,COMPRESSION-STABLE
131072,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9562,0.9508,COMPRESSION-STABLE
262144,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9557,0.9504,COMPRESSION-STABLE
524288,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9547,0.9494,COMPRESSION-STABLE
1048576,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9528,0.9475,COMPRESSION-STABLE
2097152,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9489,0.9436,COMPRESSION-STABLE
4194304,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9413,0.936,COMPRESSION-STABLE
8388608,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.9263,0.9212,COMPRESSION-STABLE
16777216,P-A-N,ReducedSectorCount,0.9944,0.9941,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.8979,0.8928,COMPRESSION-STABLE
33554432,P-A-N,ReducedSectorCount,0.9944,0.994,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.8458,0.8411,COMPRESSION-STABLE
67108864,P-A-N,ReducedSectorCount,0.9944,0.994,0.9944,1.0,1.6573,0.0056,1.0,0.6,0.758,0.7537,COMPRESSION-STABLE
1,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
2,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
4,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
6,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
8,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
12,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
16,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
20,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
24,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
32,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
40,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
48,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
64,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
80,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
96,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
128,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
160,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
192,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
256,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
320,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
512,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
768,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
1024,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
1536,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
2048,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
3072,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
4096,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
6144,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
8192,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
12288,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9567,0.966,COMPRESSION-STABLE
16384,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9566,0.966,COMPRESSION-STABLE
24576,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9566,0.966,COMPRESSION-STABLE
32768,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9566,0.966,COMPRESSION-STABLE
65536,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9565,0.9659,COMPRESSION-STABLE
131072,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9562,0.9659,COMPRESSION-STABLE
262144,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9557,0.9657,COMPRESSION-STABLE
524288,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9547,0.9654,COMPRESSION-STABLE
1048576,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9528,0.9648,COMPRESSION-STABLE
2097152,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9489,0.9637,COMPRESSION-STABLE
4194304,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.9413,0.9614,COMPRESSION-STABLE
8388608,P-A-N,CompressedOperatorBasis,0.9477,0.9447,1.0,1.0,1.3539,0.0523,1.0,0.7,0.9263,0.8779,COMPRESSION-STABLE
16777216,P-A-N,CompressedOperatorBasis,0.9683,0.9664,1.0,1.0,1.3832,0.0317,1.0,0.7,0.8979,0.8694,COMPRESSION-STABLE
33554432,P-A-N,CompressedOperatorBasis,1.0,1.0,1.0,1.0,1.4286,0.0,1.0,0.7,0.8458,0.8538,COMPRESSION-STABLE
67108864,P-A-N,CompressedOperatorBasis,0.9596,0.9568,1.0,1.0,1.3709,0.0404,1.0,0.7,0.758,0.7274,COMPRESSION-STABLE
1,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
2,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
4,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
6,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
8,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
12,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
16,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
20,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
24,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
32,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
40,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
48,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
64,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
80,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
96,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
128,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
160,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
192,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
256,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
320,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
512,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
768,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
1024,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
1536,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
2048,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
3072,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
4096,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
6144,P-A-N,LowPrecisionRecursion,0.9122,0.9073,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
8192,P-A-N,LowPrecisionRecursion,0.9122,0.9074,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
12288,P-A-N,LowPrecisionRecursion,0.9122,0.9074,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9567,0.8727,COMPRESSION-STABLE
16384,P-A-N,LowPrecisionRecursion,0.9122,0.9074,0.9122,1.0,1.8244,0.0878,1.0,0.5,0.9566,0.8727,COMPRESSION-STABLE
24576,P-A-N,LowPrecisionRecursion,0.9122,0.9074,0.9122,1.0,1.8245,0.0878,1.0,0.5,0.9566,0.8726,COMPRESSION-STABLE
32768,P-A-N,LowPrecisionRecursion,0.9122,0.9074,0.9122,1.0,1.8245,0.0878,1.0,0.5,0.9566,0.8726,COMPRESSION-STABLE
65536,P-A-N,LowPrecisionRecursion,0.9123,0.9075,0.9123,1.0,1.8246,0.0877,1.0,0.5,0.9565,0.8726,COMPRESSION-STABLE
131072,P-A-N,LowPrecisionRecursion,0.9124,0.9076,0.9124,1.0,1.8249,0.0876,1.0,0.5,0.9562,0.8725,COMPRESSION-STABLE
262144,P-A-N,LowPrecisionRecursion,0.9127,0.9079,0.9127,1.0,1.8254,0.0873,1.0,0.5,0.9557,0.8723,COMPRESSION-STABLE
524288,P-A-N,LowPrecisionRecursion,0.9132,0.9084,0.9132,1.0,1.8265,0.0868,1.0,0.5,0.9547,0.8719,COMPRESSION-STABLE
1048576,P-A-N,LowPrecisionRecursion,0.9143,0.9095,0.9143,1.0,1.8286,0.0857,1.0,0.5,0.9528,0.8711,COMPRESSION-STABLE
2097152,P-A-N,LowPrecisionRecursion,0.9164,0.9117,0.9164,1.0,1.8327,0.0836,1.0,0.5,0.9489,0.8696,COMPRESSION-STABLE
4194304,P-A-N,LowPrecisionRecursion,0.9206,0.9161,0.9206,1.0,1.8411,0.0794,1.0,0.5,0.9413,0.8665,COMPRESSION-STABLE
8388608,P-A-N,LowPrecisionRecursion,0.929,0.9249,0.929,1.0,1.8579,0.071,1.0,0.5,0.9263,0.8605,COMPRESSION-STABLE
16777216,P-A-N,LowPrecisionRecursion,0.9457,0.9425,0.9457,1.0,1.8915,0.0543,1.0,0.5,0.8979,0.8491,COMPRESSION-STABLE
33554432,P-A-N,LowPrecisionRecursion,0.9793,0.978,0.9793,1.0,1.9586,0.0207,1.0,0.5,0.8458,0.8283,COMPRESSION-STABLE
67108864,P-A-N,LowPrecisionRecursion,0.8464,0.8355,0.8464,1.0,1.6927,0.1536,1.0,0.5,0.758,0.6415,COMPRESSION-STABLE
1,P-A-N,SparseRecursiveConnectivity,0.6209,0.6,0.6209,1.0,1.0348,0.3791,1.0,0.6,0.9567,0.594,COMPRESSION-DEGRADING
