domain_A,domain_B,operator_A,operator_B,property,val_A,val_B,comp_val,invariance
graph_diffusion,cellular_automata,additive,branching,mean_recursive_closure,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,additive,branching,mean_continuity,0.9917,0.9465,0.9691,0.9772
graph_diffusion,cellular_automata,additive,branching,mean_reconstruction,0.0,0.0,0.0,1.0
coupled_map_lattice,graph_diffusion,additive,synchronization,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_coherence,0.5952,0.4913,0.5433,0.9127
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_fertility,0.1219,0.0004,0.0612,0.5015
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_reversibility,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_recursive_closure,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_continuity,0.846,0.9917,0.9189,0.9265
coupled_map_lattice,graph_diffusion,additive,synchronization,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,coupled_map_lattice,additive,synchronization,cg_rate,0.0,0.168,0.084,0.5
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_coherence,0.4913,0.5952,0.5433,0.9127
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_fertility,0.0004,0.1219,0.0612,0.5015
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_reversibility,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_recursive_closure,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_continuity,0.9917,0.846,0.9189,0.9265
graph_diffusion,coupled_map_lattice,additive,synchronization,mean_reconstruction,0.0,0.8314,0.4157,0.5
coupled_map_lattice,gray_scott,additive,recursive_feedback,cg_rate,0.168,0.35,0.259,0.74
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_coherence,0.5952,0.5911,0.5932,0.9966
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_fertility,0.1219,0.1448,0.1334,0.9211
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_reversibility,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_recursive_closure,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_continuity,0.846,0.9054,0.8757,0.9672
coupled_map_lattice,gray_scott,additive,recursive_feedback,mean_reconstruction,0.8314,0.9582,0.8948,0.9338
coupled_map_lattice,kuramoto,additive,recursive_feedback,cg_rate,0.168,0.358,0.263,0.7346
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_coherence,0.5952,0.572,0.5836,0.9805
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_fertility,0.1219,0.2218,0.1719,0.7749
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_reversibility,0.2613,0.5897,0.4255,0.7215
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_recursive_closure,0.2613,0.5897,0.4255,0.7215
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_continuity,0.846,0.9617,0.9039,0.9398
coupled_map_lattice,kuramoto,additive,recursive_feedback,mean_reconstruction,0.8314,1.0,0.9157,0.9157
graph_diffusion,gray_scott,additive,recursive_feedback,cg_rate,0.0,0.35,0.175,0.5
graph_diffusion,gray_scott,additive,recursive_feedback,mean_coherence,0.4913,0.5911,0.5412,0.9156
graph_diffusion,gray_scott,additive,recursive_feedback,mean_fertility,0.0004,0.1448,0.0726,0.5013
graph_diffusion,gray_scott,additive,recursive_feedback,mean_reversibility,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,recursive_feedback,mean_recursive_closure,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,recursive_feedback,mean_continuity,0.9917,0.9054,0.9486,0.9565
graph_diffusion,gray_scott,additive,recursive_feedback,mean_reconstruction,0.0,0.9582,0.4791,0.5
graph_diffusion,kuramoto,additive,recursive_feedback,cg_rate,0.0,0.358,0.179,0.5
graph_diffusion,kuramoto,additive,recursive_feedback,mean_coherence,0.4913,0.572,0.5317,0.9295
graph_diffusion,kuramoto,additive,recursive_feedback,mean_fertility,0.0004,0.2218,0.1111,0.5008
graph_diffusion,kuramoto,additive,recursive_feedback,mean_reversibility,0.0008,0.5897,0.2952,0.5007
graph_diffusion,kuramoto,additive,recursive_feedback,mean_recursive_closure,0.0008,0.5897,0.2952,0.5007
graph_diffusion,kuramoto,additive,recursive_feedback,mean_continuity,0.9917,0.9617,0.9767,0.9849
graph_diffusion,kuramoto,additive,recursive_feedback,mean_reconstruction,0.0,1.0,0.5,0.5
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_coherence,0.5952,0.4913,0.5433,0.9127
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_fertility,0.1219,0.0004,0.0612,0.5015
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_reversibility,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_recursive_closure,0.2613,0.0008,0.131,0.5015
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_continuity,0.846,0.9917,0.9189,0.9265
coupled_map_lattice,graph_diffusion,additive,competitive_exclusion,mean_reconstruction,0.8314,0.0,0.4157,0.5
coupled_map_lattice,replicator,additive,competitive_exclusion,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_coherence,0.5952,0.591,0.5931,0.9964
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_fertility,0.1219,0.0167,0.0693,0.5684
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_reversibility,0.2613,0.0199,0.1406,0.5381
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_recursive_closure,0.2613,0.0199,0.1406,0.5381
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_continuity,0.846,0.9397,0.8928,0.9502
coupled_map_lattice,replicator,additive,competitive_exclusion,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,replicator,additive,competitive_exclusion,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,replicator,additive,competitive_exclusion,mean_coherence,0.4913,0.591,0.5412,0.9157
graph_diffusion,replicator,additive,competitive_exclusion,mean_fertility,0.0004,0.0167,0.0085,0.5112
graph_diffusion,replicator,additive,competitive_exclusion,mean_reversibility,0.0008,0.0199,0.0104,0.52
graph_diffusion,replicator,additive,competitive_exclusion,mean_recursive_closure,0.0008,0.0199,0.0104,0.52
graph_diffusion,replicator,additive,competitive_exclusion,mean_continuity,0.9917,0.9397,0.9657,0.9737
graph_diffusion,replicator,additive,competitive_exclusion,mean_reconstruction,0.0,0.0,0.0,1.0
coupled_map_lattice,cellular_automata,additive,diffusion,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,cellular_automata,additive,diffusion,mean_coherence,0.5952,0.5745,0.5849,0.9826
coupled_map_lattice,cellular_automata,additive,diffusion,mean_fertility,0.1219,0.0026,0.0623,0.5106
coupled_map_lattice,cellular_automata,additive,diffusion,mean_reversibility,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,diffusion,mean_recursive_closure,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,diffusion,mean_continuity,0.846,0.9465,0.8963,0.9469
coupled_map_lattice,cellular_automata,additive,diffusion,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,cellular_automata,additive,diffusion,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,diffusion,mean_coherence,0.4913,0.5745,0.5329,0.9276
graph_diffusion,cellular_automata,additive,diffusion,mean_fertility,0.0004,0.0026,0.0015,0.5717
graph_diffusion,cellular_automata,additive,diffusion,mean_reversibility,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,additive,diffusion,mean_recursive_closure,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,additive,diffusion,mean_continuity,0.9917,0.9465,0.9691,0.9772
graph_diffusion,cellular_automata,additive,diffusion,mean_reconstruction,0.0,0.0,0.0,1.0
graph_diffusion,coupled_map_lattice,additive,diffusion,cg_rate,0.0,0.168,0.084,0.5
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_coherence,0.4913,0.5952,0.5433,0.9127
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_fertility,0.0004,0.1219,0.0612,0.5015
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_reversibility,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_recursive_closure,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_continuity,0.9917,0.846,0.9189,0.9265
graph_diffusion,coupled_map_lattice,additive,diffusion,mean_reconstruction,0.0,0.8314,0.4157,0.5
coupled_map_lattice,population,additive,hierarchical_nesting,cg_rate,0.168,0.238,0.203,0.8529
coupled_map_lattice,population,additive,hierarchical_nesting,mean_coherence,0.5952,0.5972,0.5962,0.9983
coupled_map_lattice,population,additive,hierarchical_nesting,mean_fertility,0.1219,0.0932,0.1076,0.8822
coupled_map_lattice,population,additive,hierarchical_nesting,mean_reversibility,0.2613,0.3661,0.3137,0.8568
coupled_map_lattice,population,additive,hierarchical_nesting,mean_recursive_closure,0.2613,0.3661,0.3137,0.8568
coupled_map_lattice,population,additive,hierarchical_nesting,mean_continuity,0.846,0.8583,0.8521,0.9929
coupled_map_lattice,population,additive,hierarchical_nesting,mean_reconstruction,0.8314,0.8299,0.8306,0.9991
graph_diffusion,population,additive,hierarchical_nesting,cg_rate,0.0,0.238,0.119,0.5
graph_diffusion,population,additive,hierarchical_nesting,mean_coherence,0.4913,0.5972,0.5443,0.9113
graph_diffusion,population,additive,hierarchical_nesting,mean_fertility,0.0004,0.0932,0.0468,0.502
graph_diffusion,population,additive,hierarchical_nesting,mean_reversibility,0.0008,0.3661,0.1835,0.5011
graph_diffusion,population,additive,hierarchical_nesting,mean_recursive_closure,0.0008,0.3661,0.1835,0.5011
graph_diffusion,population,additive,hierarchical_nesting,mean_continuity,0.9917,0.8583,0.925,0.9327
graph_diffusion,population,additive,hierarchical_nesting,mean_reconstruction,0.0,0.8299,0.4149,0.5
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,cg_rate,0.0,0.168,0.084,0.5
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_coherence,0.4913,0.5952,0.5433,0.9127
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_fertility,0.0004,0.1219,0.0612,0.5015
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_reversibility,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_recursive_closure,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_continuity,0.9917,0.846,0.9189,0.9265
graph_diffusion,coupled_map_lattice,additive,hierarchical_nesting,mean_reconstruction,0.0,0.8314,0.4157,0.5
coupled_map_lattice,cellular_automata,additive,constraint_propagation,cg_rate,0.168,0.0,0.084,0.5
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_coherence,0.5952,0.5745,0.5849,0.9826
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_fertility,0.1219,0.0026,0.0623,0.5106
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_reversibility,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_recursive_closure,0.2613,0.0845,0.1729,0.6617
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_continuity,0.846,0.9465,0.8963,0.9469
coupled_map_lattice,cellular_automata,additive,constraint_propagation,mean_reconstruction,0.8314,0.0,0.4157,0.5
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,cg_rate,0.0,0.168,0.084,0.5
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_coherence,0.4913,0.5952,0.5433,0.9127
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_fertility,0.0004,0.1219,0.0612,0.5015
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_reversibility,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_recursive_closure,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_continuity,0.9917,0.846,0.9189,0.9265
graph_diffusion,coupled_map_lattice,additive,constraint_propagation,mean_reconstruction,0.0,0.8314,0.4157,0.5
graph_diffusion,cellular_automata,additive,constraint_propagation,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_coherence,0.4913,0.5745,0.5329,0.9276
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_fertility,0.0004,0.0026,0.0015,0.5717
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_reversibility,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_recursive_closure,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_continuity,0.9917,0.9465,0.9691,0.9772
graph_diffusion,cellular_automata,additive,constraint_propagation,mean_reconstruction,0.0,0.0,0.0,1.0
coupled_map_lattice,gray_scott,additive,resonance_locking,cg_rate,0.168,0.35,0.259,0.74
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_coherence,0.5952,0.5911,0.5932,0.9966
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_fertility,0.1219,0.1448,0.1334,0.9211
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_reversibility,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_recursive_closure,0.2613,0.7321,0.4967,0.6784
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_continuity,0.846,0.9054,0.8757,0.9672
coupled_map_lattice,gray_scott,additive,resonance_locking,mean_reconstruction,0.8314,0.9582,0.8948,0.9338
coupled_map_lattice,kuramoto,additive,resonance_locking,cg_rate,0.168,0.358,0.263,0.7346
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_coherence,0.5952,0.572,0.5836,0.9805
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_fertility,0.1219,0.2218,0.1719,0.7749
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_reversibility,0.2613,0.5897,0.4255,0.7215
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_recursive_closure,0.2613,0.5897,0.4255,0.7215
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_continuity,0.846,0.9617,0.9039,0.9398
coupled_map_lattice,kuramoto,additive,resonance_locking,mean_reconstruction,0.8314,1.0,0.9157,0.9157
graph_diffusion,gray_scott,additive,resonance_locking,cg_rate,0.0,0.35,0.175,0.5
graph_diffusion,gray_scott,additive,resonance_locking,mean_coherence,0.4913,0.5911,0.5412,0.9156
graph_diffusion,gray_scott,additive,resonance_locking,mean_fertility,0.0004,0.1448,0.0726,0.5013
graph_diffusion,gray_scott,additive,resonance_locking,mean_reversibility,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,resonance_locking,mean_recursive_closure,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,additive,resonance_locking,mean_continuity,0.9917,0.9054,0.9486,0.9565
graph_diffusion,gray_scott,additive,resonance_locking,mean_reconstruction,0.0,0.9582,0.4791,0.5
graph_diffusion,kuramoto,additive,resonance_locking,cg_rate,0.0,0.358,0.179,0.5
graph_diffusion,kuramoto,additive,resonance_locking,mean_coherence,0.4913,0.572,0.5317,0.9295
graph_diffusion,kuramoto,additive,resonance_locking,mean_fertility,0.0004,0.2218,0.1111,0.5008
graph_diffusion,kuramoto,additive,resonance_locking,mean_reversibility,0.0008,0.5897,0.2952,0.5007
graph_diffusion,kuramoto,additive,resonance_locking,mean_recursive_closure,0.0008,0.5897,0.2952,0.5007
graph_diffusion,kuramoto,additive,resonance_locking,mean_continuity,0.9917,0.9617,0.9767,0.9849
graph_diffusion,kuramoto,additive,resonance_locking,mean_reconstruction,0.0,1.0,0.5,0.5
gray_scott,lotka_volterra,multiplicative,branching,cg_rate,0.35,0.0,0.175,0.5
gray_scott,lotka_volterra,multiplicative,branching,mean_coherence,0.5911,0.5289,0.56,0.9474
gray_scott,lotka_volterra,multiplicative,branching,mean_fertility,0.1448,0.1908,0.1678,0.8795
gray_scott,lotka_volterra,multiplicative,branching,mean_reversibility,0.7321,0.1048,0.4185,0.5716
gray_scott,lotka_volterra,multiplicative,branching,mean_recursive_closure,0.7321,0.1048,0.4185,0.5716
gray_scott,lotka_volterra,multiplicative,branching,mean_continuity,0.9054,0.9536,0.9295,0.9747
gray_scott,lotka_volterra,multiplicative,branching,mean_reconstruction,0.9582,0.0,0.4791,0.5
gray_scott,cellular_automata,multiplicative,branching,cg_rate,0.35,0.0,0.175,0.5
gray_scott,cellular_automata,multiplicative,branching,mean_coherence,0.5911,0.5745,0.5828,0.986
gray_scott,cellular_automata,multiplicative,branching,mean_fertility,0.1448,0.0026,0.0737,0.509
gray_scott,cellular_automata,multiplicative,branching,mean_reversibility,0.7321,0.0845,0.4083,0.5577
gray_scott,cellular_automata,multiplicative,branching,mean_recursive_closure,0.7321,0.0845,0.4083,0.5577
gray_scott,cellular_automata,multiplicative,branching,mean_continuity,0.9054,0.9465,0.926,0.9783
gray_scott,cellular_automata,multiplicative,branching,mean_reconstruction,0.9582,0.0,0.4791,0.5
graph_diffusion,lotka_volterra,multiplicative,branching,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,lotka_volterra,multiplicative,branching,mean_coherence,0.4913,0.5289,0.5101,0.9645
graph_diffusion,lotka_volterra,multiplicative,branching,mean_fertility,0.0004,0.1908,0.0956,0.501
graph_diffusion,lotka_volterra,multiplicative,branching,mean_reversibility,0.0008,0.1048,0.0528,0.5038
graph_diffusion,lotka_volterra,multiplicative,branching,mean_recursive_closure,0.0008,0.1048,0.0528,0.5038
graph_diffusion,lotka_volterra,multiplicative,branching,mean_continuity,0.9917,0.9536,0.9727,0.9808
graph_diffusion,lotka_volterra,multiplicative,branching,mean_reconstruction,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,multiplicative,branching,cg_rate,0.0,0.0,0.0,1.0
graph_diffusion,cellular_automata,multiplicative,branching,mean_coherence,0.4913,0.5745,0.5329,0.9276
graph_diffusion,cellular_automata,multiplicative,branching,mean_fertility,0.0004,0.0026,0.0015,0.5717
graph_diffusion,cellular_automata,multiplicative,branching,mean_reversibility,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,multiplicative,branching,mean_recursive_closure,0.0008,0.0845,0.0426,0.5047
graph_diffusion,cellular_automata,multiplicative,branching,mean_continuity,0.9917,0.9465,0.9691,0.9772
graph_diffusion,cellular_automata,multiplicative,branching,mean_reconstruction,0.0,0.0,0.0,1.0
gray_scott,graph_diffusion,multiplicative,synchronization,cg_rate,0.35,0.0,0.175,0.5
gray_scott,graph_diffusion,multiplicative,synchronization,mean_coherence,0.5911,0.4913,0.5412,0.9156
gray_scott,graph_diffusion,multiplicative,synchronization,mean_fertility,0.1448,0.0004,0.0726,0.5013
gray_scott,graph_diffusion,multiplicative,synchronization,mean_reversibility,0.7321,0.0008,0.3665,0.5005
gray_scott,graph_diffusion,multiplicative,synchronization,mean_recursive_closure,0.7321,0.0008,0.3665,0.5005
gray_scott,graph_diffusion,multiplicative,synchronization,mean_continuity,0.9054,0.9917,0.9486,0.9565
gray_scott,graph_diffusion,multiplicative,synchronization,mean_reconstruction,0.9582,0.0,0.4791,0.5
gray_scott,coupled_map_lattice,multiplicative,synchronization,cg_rate,0.35,0.168,0.259,0.74
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_coherence,0.5911,0.5952,0.5932,0.9966
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_fertility,0.1448,0.1219,0.1334,0.9211
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_reversibility,0.7321,0.2613,0.4967,0.6784
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_recursive_closure,0.7321,0.2613,0.4967,0.6784
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_continuity,0.9054,0.846,0.8757,0.9672
gray_scott,coupled_map_lattice,multiplicative,synchronization,mean_reconstruction,0.9582,0.8314,0.8948,0.9338
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,cg_rate,0.0,0.168,0.084,0.5
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_coherence,0.4913,0.5952,0.5433,0.9127
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_fertility,0.0004,0.1219,0.0612,0.5015
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_reversibility,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_recursive_closure,0.0008,0.2613,0.131,0.5015
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_continuity,0.9917,0.846,0.9189,0.9265
graph_diffusion,coupled_map_lattice,multiplicative,synchronization,mean_reconstruction,0.0,0.8314,0.4157,0.5
gray_scott,kuramoto,multiplicative,recursive_feedback,cg_rate,0.35,0.358,0.354,0.9888
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_coherence,0.5911,0.572,0.5815,0.9838
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_fertility,0.1448,0.2218,0.1833,0.8264
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_reversibility,0.7321,0.5897,0.6609,0.9027
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_recursive_closure,0.7321,0.5897,0.6609,0.9027
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_continuity,0.9054,0.9617,0.9336,0.9707
gray_scott,kuramoto,multiplicative,recursive_feedback,mean_reconstruction,0.9582,1.0,0.9791,0.9791
graph_diffusion,gray_scott,multiplicative,recursive_feedback,cg_rate,0.0,0.35,0.175,0.5
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_coherence,0.4913,0.5911,0.5412,0.9156
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_fertility,0.0004,0.1448,0.0726,0.5013
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_reversibility,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_recursive_closure,0.0008,0.7321,0.3665,0.5005
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_continuity,0.9917,0.9054,0.9486,0.9565
graph_diffusion,gray_scott,multiplicative,recursive_feedback,mean_reconstruction,0.0,0.9582,0.4791,0.5
graph_diffusion,kuramoto,multiplicative,recursive_feedback,cg_rate,0.0,0.358,0.179,0.5
