chain_idx,step,domain,cg_rate,mean_reversibility,mean_recursive_closure,mean_continuity,cg_decay
5,4,replicator∘graph_diffusion,0.0706,0.1388,0.1388,0.9531,0.4592
5,5,graph_diffusion∘gray_scott,0.1394,0.2825,0.2825,0.9346,0.0676
6,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
6,1,lotka_volterra∘replicator,0.0531,0.1497,0.1497,0.9428,0.8456
6,2,replicator∘population,0.0964,0.2026,0.2026,0.9297,2.3494
6,3,population∘coupled_map_lattice,0.1135,0.22,0.22,0.9173,2.9428
6,4,coupled_map_lattice∘kuramoto,0.1404,0.2611,0.2611,0.9252,3.877
6,5,kuramoto∘population,0.14,0.2583,0.2583,0.9209,3.8652
7,0,population,0.1397,0.2555,0.2555,0.9165,0.0
7,1,population∘kuramoto,0.1535,0.2788,0.2788,0.9248,0.0987
7,2,kuramoto∘cellular_automata,0.1171,0.2321,0.2321,0.9303,0.1613
7,3,cellular_automata∘gray_scott,0.1626,0.3292,0.3292,0.9233,0.1644
7,4,gray_scott∘coupled_map_lattice,0.1466,0.2833,0.2833,0.9141,0.0496
7,5,coupled_map_lattice∘graph_diffusion,0.0906,0.177,0.177,0.9443,0.3511
8,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
8,1,gray_scott∘cellular_automata,0.1445,0.3058,0.3058,0.926,0.3058
8,2,cellular_automata∘replicator,0.111,0.2342,0.2342,0.9313,0.4669
8,3,replicator∘kuramoto,0.1391,0.2682,0.2682,0.9322,0.3317
8,4,kuramoto∘lotka_volterra,0.0839,0.2025,0.2025,0.9407,0.5967
8,5,lotka_volterra∘graph_diffusion,0.0593,0.1366,0.1366,0.9575,0.7151
9,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
9,1,lotka_volterra∘graph_diffusion,0.0317,0.1038,0.1038,0.9618,0.1023
9,2,graph_diffusion∘replicator,0.0546,0.1332,0.1332,0.9492,0.8967
9,3,replicator∘cellular_automata,0.0677,0.1593,0.1593,0.9425,1.3528
9,4,cellular_automata∘graph_diffusion,0.0512,0.115,0.115,0.9584,0.7787
9,5,graph_diffusion∘cellular_automata,0.066,0.1502,0.1502,0.9471,1.2938
10,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
10,1,gray_scott∘replicator,0.1428,0.2944,0.2944,0.9264,0.3139
10,2,replicator∘kuramoto,0.155,0.2983,0.2983,0.9298,0.2552
10,3,kuramoto∘coupled_map_lattice,0.1428,0.2678,0.2678,0.9174,0.314
10,4,coupled_map_lattice∘cellular_automata,0.1118,0.2266,0.2266,0.9266,0.4628
10,5,cellular_automata∘lotka_volterra,0.0703,0.1817,0.1817,0.9379,0.6623
11,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
11,1,lotka_volterra∘gray_scott,0.1185,0.2815,0.2815,0.9327,3.1161
11,2,gray_scott∘replicator,0.0979,0.2221,0.2221,0.9346,2.4036
11,3,replicator∘coupled_map_lattice,0.1142,0.2297,0.2297,0.9198,2.9699
11,4,coupled_map_lattice∘gray_scott,0.1612,0.328,0.328,0.918,4.601
11,5,gray_scott∘lotka_volterra,0.095,0.2324,0.2324,0.9336,2.3005
12,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
12,1,lotka_volterra∘graph_diffusion,0.0317,0.1038,0.1038,0.9618,0.1023
12,2,graph_diffusion∘gray_scott,0.1199,0.265,0.265,0.939,3.1672
12,3,gray_scott∘coupled_map_lattice,0.1252,0.2512,0.2512,0.922,3.3517
12,4,coupled_map_lattice∘kuramoto,0.1462,0.2767,0.2767,0.9276,4.0815
12,5,kuramoto∘cellular_automata,0.1135,0.231,0.231,0.9317,2.9452
13,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
13,1,replicator∘coupled_map_lattice,0.104,0.2,0.2,0.9208,0.3428
13,2,coupled_map_lattice∘lotka_volterra,0.0664,0.1684,0.1684,0.935,0.1428
13,3,lotka_volterra∘replicator,0.0719,0.1655,0.1655,0.9357,0.0714
13,4,replicator∘graph_diffusion,0.0533,0.1182,0.1182,0.9551,0.3119
13,5,graph_diffusion∘cellular_automata,0.0671,0.1518,0.1518,0.9454,0.1341
14,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
14,1,gray_scott∘lotka_volterra,0.1185,0.2815,0.2815,0.9327,0.4309
14,2,lotka_volterra∘replicator,0.0979,0.2221,0.2221,0.9346,0.5294
14,3,replicator∘gray_scott,0.153,0.3241,0.3241,0.9254,0.2647
14,4,gray_scott∘graph_diffusion,0.0939,0.1975,0.1975,0.9499,0.5491
14,5,graph_diffusion∘lotka_volterra,0.0613,0.1671,0.1671,0.9495,0.7054
15,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
15,1,kuramoto∘population,0.1535,0.2788,0.2788,0.9248,0.0824
15,2,population∘kuramoto,0.1603,0.2905,0.2905,0.929,0.0412
15,3,kuramoto∘gray_scott,0.1842,0.3583,0.3583,0.9226,0.1016
15,4,gray_scott∘coupled_map_lattice,0.1574,0.2979,0.2979,0.9138,0.0589
15,5,coupled_map_lattice∘graph_diffusion,0.096,0.1843,0.1843,0.9441,0.4258
16,0,population,0.1397,0.2555,0.2555,0.9165,0.0
16,1,population∘graph_diffusion,0.0872,0.1632,0.1632,0.9454,0.3759
16,2,graph_diffusion∘cellular_automata,0.084,0.1743,0.1743,0.9406,0.3986
16,3,cellular_automata∘replicator,0.0807,0.1684,0.1684,0.9386,0.422
16,4,replicator∘graph_diffusion,0.0577,0.1196,0.1196,0.9565,0.5869
16,5,graph_diffusion∘lotka_volterra,0.0432,0.1282,0.1282,0.9528,0.6904
17,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
17,1,cellular_automata∘coupled_map_lattice,0.1057,0.2114,0.2114,0.9204,0.3075
17,2,coupled_map_lattice∘replicator,0.0916,0.187,0.187,0.9285,0.1328
17,3,replicator∘kuramoto,0.1294,0.2446,0.2446,0.9308,0.6008
17,4,kuramoto∘population,0.1345,0.25,0.25,0.9236,0.6643
17,5,population∘coupled_map_lattice,0.1325,0.2437,0.2437,0.9143,0.6396
18,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
18,1,lotka_volterra∘cellular_automata,0.0548,0.1611,0.1611,0.9425,0.9044
18,2,cellular_automata∘replicator,0.0661,0.1619,0.1619,0.9395,1.2978
18,3,replicator∘lotka_volterra,0.0475,0.1493,0.1493,0.9443,0.6489
18,4,lotka_volterra∘coupled_map_lattice,0.089,0.1934,0.1934,0.9247,2.0926
18,5,coupled_map_lattice∘kuramoto,0.1281,0.2477,0.2477,0.9289,3.4519
19,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
19,1,replicator∘population,0.1086,0.2091,0.2091,0.9265,0.4017
19,2,population∘graph_diffusion,0.0716,0.1399,0.1399,0.9504,0.0753
19,3,graph_diffusion∘cellular_automata,0.0762,0.1627,0.1627,0.9431,0.0158
19,4,cellular_automata∘population,0.1079,0.2091,0.2091,0.9298,0.3938
19,5,population∘graph_diffusion,0.0713,0.1399,0.1399,0.9521,0.0793
20,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
20,1,cellular_automata∘population,0.1103,0.2204,0.2204,0.9261,0.3639
20,2,population∘cellular_automata,0.0955,0.2029,0.2029,0.931,0.182
20,3,cellular_automata∘graph_diffusion,0.0651,0.1369,0.1369,0.9527,0.1946
20,4,graph_diffusion∘cellular_automata,0.073,0.1611,0.1611,0.9442,0.0973
20,5,cellular_automata∘graph_diffusion,0.0538,0.116,0.116,0.9593,0.3342
21,0,graph_diffusion,0.0347,0.0708,0.0708,0.9744,0.0
21,1,graph_diffusion∘kuramoto,0.101,0.1865,0.1865,0.9538,1.912
21,2,kuramoto∘lotka_volterra,0.0649,0.1616,0.1616,0.9515,0.8711
21,3,lotka_volterra∘gray_scott,0.1365,0.2939,0.2939,0.9338,2.9373
21,4,gray_scott∘replicator,0.107,0.2283,0.2283,0.9352,2.0857
21,5,replicator∘graph_diffusion,0.0708,0.1495,0.1495,0.9548,1.0428
22,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
22,1,kuramoto∘cellular_automata,0.124,0.2437,0.2437,0.9345,0.2583
22,2,cellular_automata∘graph_diffusion,0.0794,0.1573,0.1573,0.9544,0.5255
22,3,graph_diffusion∘gray_scott,0.1437,0.2917,0.2917,0.9353,0.1405
22,4,gray_scott∘lotka_volterra,0.0863,0.2143,0.2143,0.9423,0.4842
22,5,lotka_volterra∘gray_scott,0.1472,0.3202,0.3202,0.9292,0.1199
23,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
23,1,kuramoto∘population,0.1535,0.2788,0.2788,0.9248,0.0824
23,2,population∘coupled_map_lattice,0.142,0.2581,0.2581,0.9149,0.1509
23,3,coupled_map_lattice∘gray_scott,0.1751,0.3422,0.3422,0.9156,0.0468
23,4,gray_scott∘replicator,0.1263,0.2524,0.2524,0.926,0.2451
23,5,replicator∘cellular_automata,0.1035,0.2189,0.2189,0.9309,0.3809
24,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
24,1,lotka_volterra∘population,0.0842,0.1961,0.1961,0.9328,1.9266
24,2,population∘replicator,0.0808,0.1794,0.1794,0.9347,1.8089
24,3,replicator∘gray_scott,0.1445,0.3028,0.3028,0.9254,4.0205
24,4,gray_scott∘coupled_map_lattice,0.1375,0.2701,0.2701,0.9152,3.7784
24,5,coupled_map_lattice∘cellular_automata,0.1092,0.2277,0.2277,0.9255,2.7936
25,0,coupled_map_lattice,0.1305,0.2374,0.2374,0.905,0.0
25,1,coupled_map_lattice∘lotka_volterra,0.0797,0.1871,0.1871,0.9271,0.3898
25,2,lotka_volterra∘kuramoto,0.1234,0.2446,0.2446,0.9301,0.0544
25,3,kuramoto∘population,0.1316,0.2501,0.2501,0.9233,0.0078
25,4,population∘graph_diffusion,0.0831,0.1604,0.1604,0.9488,0.3633
25,5,graph_diffusion∘lotka_volterra,0.0559,0.1486,0.1486,0.949,0.5714
26,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
26,1,lotka_volterra∘graph_diffusion,0.0317,0.1038,0.1038,0.9618,0.1023
26,2,graph_diffusion∘population,0.0857,0.1797,0.1797,0.9391,1.9778
26,3,population∘cellular_automata,0.0833,0.1825,0.1825,0.9375,1.8933
26,4,cellular_automata∘lotka_volterra,0.056,0.1597,0.1597,0.9433,0.9467
26,5,lotka_volterra∘coupled_map_lattice,0.0933,0.1985,0.1985,0.9242,2.2415
27,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
27,1,cellular_automata∘replicator,0.0791,0.174,0.174,0.9362,0.021
27,2,replicator∘graph_diffusion,0.0569,0.1224,0.1224,0.9553,0.296
27,3,graph_diffusion∘lotka_volterra,0.0428,0.1296,0.1296,0.9522,0.47
27,4,lotka_volterra∘population,0.0913,0.1926,0.1926,0.9344,0.1289
27,5,population∘kuramoto,0.1292,0.2473,0.2473,0.9337,0.5989
28,0,population,0.1397,0.2555,0.2555,0.9165,0.0
28,1,population∘gray_scott,0.1739,0.3409,0.3409,0.9164,0.2451
28,2,gray_scott∘cellular_automata,0.1274,0.2631,0.2631,0.9261,0.0881
28,3,cellular_automata∘graph_diffusion,0.081,0.167,0.167,0.9502,0.4199
28,4,graph_diffusion∘coupled_map_lattice,0.1058,0.2022,0.2022,0.9276,0.2426
28,5,coupled_map_lattice∘replicator,0.0916,0.1824,0.1824,0.9321,0.3441
29,0,graph_diffusion,0.0347,0.0708,0.0708,0.9744,0.0
29,1,graph_diffusion∘replicator,0.0561,0.1167,0.1167,0.9555,0.617
29,2,replicator∘kuramoto,0.1116,0.2094,0.2094,0.9443,2.2205
29,3,kuramoto∘population,0.1257,0.2325,0.2325,0.9304,2.6247
29,4,population∘cellular_automata,0.1032,0.2089,0.2089,0.9331,1.9782
29,5,cellular_automata∘replicator,0.0903,0.1858,0.1858,0.9348,1.6061
30,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
30,1,kuramoto∘replicator,0.1223,0.2324,0.2324,0.9348,0.2685
30,2,replicator∘population,0.131,0.2439,0.2439,0.9257,0.2167
30,3,population∘gray_scott,0.1696,0.3351,0.3351,0.9209,0.0139
30,4,gray_scott∘graph_diffusion,0.1021,0.2029,0.2029,0.9477,0.3894
30,5,graph_diffusion∘lotka_volterra,0.0654,0.1699,0.1699,0.9484,0.6087
31,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
31,1,gray_scott∘population,0.1739,0.3409,0.3409,0.9164,0.1645
31,2,population∘kuramoto,0.1706,0.3215,0.3215,0.9247,0.1805
31,3,kuramoto∘population,0.1551,0.2885,0.2885,0.9206,0.2547
31,4,population∘gray_scott,0.1816,0.3574,0.3574,0.9184,0.1273
31,5,gray_scott∘replicator,0.1295,0.26,0.26,0.9275,0.3776
32,0,graph_diffusion,0.0347,0.0708,0.0708,0.9744,0.0
32,1,graph_diffusion∘population,0.0872,0.1632,0.1632,0.9454,1.5144
32,2,population∘coupled_map_lattice,0.1089,0.2003,0.2003,0.9252,2.14
32,3,coupled_map_lattice∘replicator,0.0931,0.1815,0.1815,0.9309,1.687
32,4,replicator∘gray_scott,0.1506,0.3038,0.3038,0.9235,3.3453
32,5,gray_scott∘cellular_automata,0.1157,0.2446,0.2446,0.9297,2.3385
33,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
33,1,cellular_automata∘coupled_map_lattice,0.1057,0.2114,0.2114,0.9204,0.3075
33,2,coupled_map_lattice∘lotka_volterra,0.0672,0.1741,0.1741,0.9348,0.1683
33,3,lotka_volterra∘gray_scott,0.1377,0.3002,0.3002,0.9255,0.7032
33,4,gray_scott∘kuramoto,0.1525,0.3011,0.3011,0.9293,0.8861
33,5,kuramoto∘graph_diffusion,0.0936,0.186,0.186,0.9519,0.1575
34,0,population,0.1397,0.2555,0.2555,0.9165,0.0
34,1,population∘cellular_automata,0.1103,0.2204,0.2204,0.9261,0.2106
34,2,cellular_automata∘kuramoto,0.1387,0.2613,0.2613,0.9296,0.0066
34,3,kuramoto∘cellular_automata,0.1098,0.2233,0.2233,0.9327,0.2139
34,4,cellular_automata∘kuramoto,0.1385,0.2627,0.2627,0.9329,0.0083
34,5,kuramoto∘coupled_map_lattice,0.1345,0.2501,0.2501,0.919,0.0368
35,0,coupled_map_lattice,0.1305,0.2374,0.2374,0.905,0.0
35,1,coupled_map_lattice∘population,0.1351,0.2465,0.2465,0.9107,0.0349
35,2,population∘lotka_volterra,0.0819,0.1916,0.1916,0.93,0.3723
35,3,lotka_volterra∘population,0.1108,0.2236,0.2236,0.9232,0.1512
35,4,population∘coupled_map_lattice,0.1207,0.2305,0.2305,0.9141,0.0756
35,5,coupled_map_lattice∘cellular_automata,0.1008,0.2079,0.2079,0.9249,0.2282
36,0,population,0.1397,0.2555,0.2555,0.9165,0.0
36,1,population∘replicator,0.1086,0.2091,0.2091,0.9265,0.2228
36,2,replicator∘coupled_map_lattice,0.1195,0.2232,0.2232,0.9157,0.144
36,3,coupled_map_lattice∘cellular_automata,0.1002,0.2043,0.2043,0.9258,0.2826
36,4,cellular_automata∘gray_scott,0.1542,0.3153,0.3153,0.921,0.1038
36,5,gray_scott∘coupled_map_lattice,0.1424,0.2763,0.2763,0.913,0.0192
37,0,coupled_map_lattice,0.1305,0.2374,0.2374,0.905,0.0
37,1,coupled_map_lattice∘graph_diffusion,0.0826,0.1541,0.1541,0.9397,0.3672
37,2,graph_diffusion∘coupled_map_lattice,0.1066,0.1958,0.1958,0.9223,0.1836
37,3,coupled_map_lattice∘lotka_volterra,0.0677,0.1663,0.1663,0.9358,0.4816
37,4,lotka_volterra∘gray_scott,0.1379,0.2962,0.2962,0.926,0.0564
37,5,gray_scott∘coupled_map_lattice,0.1342,0.2668,0.2668,0.9155,0.0282
38,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
38,1,gray_scott∘population,0.1739,0.3409,0.3409,0.9164,0.1645
38,2,population∘coupled_map_lattice,0.1522,0.2891,0.2891,0.9107,0.2686
38,3,coupled_map_lattice∘population,0.1459,0.2723,0.2723,0.9136,0.2988
38,4,population∘cellular_automata,0.1134,0.2288,0.2288,0.9247,0.4552
38,5,cellular_automata∘lotka_volterra,0.0711,0.1828,0.1828,0.9369,0.6585
39,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
39,1,replicator∘population,0.1086,0.2091,0.2091,0.9265,0.4017
39,2,population∘lotka_volterra,0.0687,0.1729,0.1729,0.9378,0.1133
39,3,lotka_volterra∘coupled_map_lattice,0.0996,0.2052,0.2052,0.9214,0.2861
39,4,coupled_map_lattice∘graph_diffusion,0.0671,0.138,0.138,0.9479,0.1331
39,5,graph_diffusion∘kuramoto,0.1172,0.2201,0.2201,0.9405,0.5132
40,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
40,1,replicator∘kuramoto,0.1223,0.2324,0.2324,0.9348,0.5797
40,2,kuramoto∘cellular_automata,0.1016,0.2089,0.2089,0.9353,0.3117
40,3,cellular_automata∘coupled_map_lattice,0.1161,0.2231,0.2231,0.9201,0.4987
40,4,coupled_map_lattice∘replicator,0.0968,0.1929,0.1929,0.9283,0.2493
40,5,replicator∘gray_scott,0.1524,0.3096,0.3096,0.9223,0.9684
41,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
41,1,replicator∘kuramoto,0.1223,0.2324,0.2324,0.9348,0.5797
41,2,kuramoto∘coupled_map_lattice,0.1264,0.2349,0.2349,0.9199,0.6327
41,3,coupled_map_lattice∘kuramoto,0.1468,0.2685,0.2685,0.9265,0.896
41,4,kuramoto∘gray_scott,0.1775,0.3474,0.3474,0.9214,1.2917
41,5,gray_scott∘coupled_map_lattice,0.154,0.2924,0.2924,0.9132,0.9887
42,0,cellular_automata,0.0808,0.1854,0.1854,0.9358,0.0
42,1,cellular_automata∘kuramoto,0.124,0.2437,0.2437,0.9345,0.5344
42,2,kuramoto∘graph_diffusion,0.0794,0.1573,0.1573,0.9544,0.0183
42,3,graph_diffusion∘kuramoto,0.1233,0.2297,0.2297,0.9438,0.5253
42,4,kuramoto∘coupled_map_lattice,0.1269,0.2336,0.2336,0.9244,0.5701
42,5,coupled_map_lattice∘graph_diffusion,0.0808,0.1522,0.1522,0.9494,0.0005
43,0,graph_diffusion,0.0347,0.0708,0.0708,0.9744,0.0
43,1,graph_diffusion∘coupled_map_lattice,0.0826,0.1541,0.1541,0.9397,1.3828
43,2,coupled_map_lattice∘replicator,0.08,0.1584,0.1584,0.9381,1.3084
43,3,replicator∘coupled_map_lattice,0.1053,0.1979,0.1979,0.9215,2.037
43,4,coupled_map_lattice∘cellular_automata,0.0931,0.1916,0.1916,0.9287,1.6844
43,5,cellular_automata∘kuramoto,0.1301,0.2469,0.2469,0.9309,2.7542
44,0,population,0.1397,0.2555,0.2555,0.9165,0.0
44,1,population∘coupled_map_lattice,0.1351,0.2465,0.2465,0.9107,0.0327
44,2,coupled_map_lattice∘replicator,0.1063,0.2045,0.2045,0.9236,0.2391
44,3,replicator∘lotka_volterra,0.0675,0.1707,0.1707,0.9364,0.5165
44,4,lotka_volterra∘replicator,0.0725,0.1667,0.1667,0.9365,0.481
44,5,replicator∘coupled_map_lattice,0.1015,0.202,0.202,0.9207,0.2732
45,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
45,1,kuramoto∘coupled_map_lattice,0.1489,0.2698,0.2698,0.9191,0.1097
45,2,coupled_map_lattice∘graph_diffusion,0.0918,0.1703,0.1703,0.9467,0.4512
45,3,graph_diffusion∘coupled_map_lattice,0.1112,0.2038,0.2038,0.9259,0.3353
45,4,coupled_map_lattice∘kuramoto,0.1392,0.253,0.253,0.9295,0.1677
45,5,kuramoto∘cellular_automata,0.11,0.2192,0.2192,0.9326,0.3422
46,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
46,1,gray_scott∘kuramoto,0.1877,0.3642,0.3642,0.9247,0.0982
46,2,kuramoto∘cellular_automata,0.1343,0.2748,0.2748,0.9302,0.3549
46,3,cellular_automata∘coupled_map_lattice,0.1324,0.2561,0.2561,0.9176,0.3638
46,4,coupled_map_lattice∘graph_diffusion,0.0835,0.1634,0.1634,0.946,0.5986
46,5,graph_diffusion∘lotka_volterra,0.0562,0.1501,0.1501,0.9476,0.7302
47,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
47,1,replicator∘population,0.1086,0.2091,0.2091,0.9265,0.4017
47,2,population∘gray_scott,0.1583,0.3176,0.3176,0.9214,1.0446
47,3,gray_scott∘replicator,0.1179,0.2401,0.2401,0.9289,0.5223
47,4,replicator∘graph_diffusion,0.0763,0.1555,0.1555,0.9517,0.015
47,5,graph_diffusion∘replicator,0.0769,0.1591,0.1591,0.9441,0.0075
48,0,population,0.1397,0.2555,0.2555,0.9165,0.0
48,1,population∘coupled_map_lattice,0.1351,0.2465,0.2465,0.9107,0.0327
48,2,coupled_map_lattice∘cellular_automata,0.108,0.2159,0.2159,0.9233,0.227
48,3,cellular_automata∘population,0.1238,0.2357,0.2357,0.9199,0.1135
48,4,population∘kuramoto,0.1455,0.2689,0.2689,0.9265,0.042
48,5,kuramoto∘lotka_volterra,0.0872,0.2029,0.2029,0.9378,0.376
49,0,replicator,0.0774,0.1626,0.1626,0.9365,0.0
49,1,replicator∘kuramoto,0.1223,0.2324,0.2324,0.9348,0.5797
49,2,kuramoto∘cellular_automata,0.1016,0.2089,0.2089,0.9353,0.3117
49,3,cellular_automata∘graph_diffusion,0.0681,0.1398,0.1398,0.9549,0.1203
49,4,graph_diffusion∘coupled_map_lattice,0.0993,0.1886,0.1886,0.9299,0.2827
49,5,coupled_map_lattice∘graph_diffusion,0.067,0.1297,0.1297,0.9522,0.1349
50,0,population,0.1397,0.2555,0.2555,0.9165,0.0
50,1,population∘cellular_automata,0.1103,0.2204,0.2204,0.9261,0.2106
50,2,cellular_automata∘lotka_volterra,0.0695,0.1786,0.1786,0.9377,0.5023
50,3,lotka_volterra∘replicator,0.0735,0.1706,0.1706,0.9371,0.4739
50,4,replicator∘coupled_map_lattice,0.102,0.204,0.204,0.921,0.2696
50,5,coupled_map_lattice∘population,0.1208,0.2298,0.2298,0.9188,0.1348
51,0,kuramoto,0.1672,0.3021,0.3021,0.9331,0.0
51,1,kuramoto∘replicator,0.1223,0.2324,0.2324,0.9348,0.2685
51,2,replicator∘graph_diffusion,0.0785,0.1516,0.1516,0.9546,0.5306
51,3,graph_diffusion∘gray_scott,0.1433,0.2889,0.2889,0.9354,0.143
51,4,gray_scott∘kuramoto,0.1553,0.2955,0.2955,0.9343,0.0715
51,5,kuramoto∘replicator,0.1164,0.2291,0.2291,0.9354,0.3042
52,0,coupled_map_lattice,0.1305,0.2374,0.2374,0.905,0.0
52,1,coupled_map_lattice∘kuramoto,0.1489,0.2698,0.2698,0.9191,0.1405
52,2,kuramoto∘graph_diffusion,0.0918,0.1703,0.1703,0.9467,0.297
52,3,graph_diffusion∘kuramoto,0.1295,0.2362,0.2362,0.9399,0.0079
52,4,kuramoto∘replicator,0.1035,0.1994,0.1994,0.9382,0.2073
52,5,replicator∘lotka_volterra,0.0661,0.1681,0.1681,0.9437,0.4934
53,0,gray_scott,0.2081,0.4262,0.4262,0.9162,0.0
53,1,gray_scott∘lotka_volterra,0.1185,0.2815,0.2815,0.9327,0.4309
53,2,lotka_volterra∘replicator,0.0979,0.2221,0.2221,0.9346,0.5294
53,3,replicator∘cellular_automata,0.0894,0.2037,0.2037,0.9352,0.5705
53,4,cellular_automata∘replicator,0.0834,0.1832,0.1832,0.9359,0.5992
53,5,replicator∘kuramoto,0.1253,0.2426,0.2426,0.9345,0.3978
54,0,population,0.1397,0.2555,0.2555,0.9165,0.0
54,1,population∘graph_diffusion,0.0872,0.1632,0.1632,0.9454,0.3759
54,2,graph_diffusion∘population,0.1134,0.2093,0.2093,0.931,0.1879
54,3,population∘gray_scott,0.1608,0.3178,0.3178,0.9236,0.1511
54,4,gray_scott∘lotka_volterra,0.0948,0.2273,0.2273,0.9364,0.3214
54,5,lotka_volterra∘replicator,0.0861,0.195,0.195,0.9365,0.3835
55,0,population,0.1397,0.2555,0.2555,0.9165,0.0
55,1,population∘coupled_map_lattice,0.1351,0.2465,0.2465,0.9107,0.0327
55,2,coupled_map_lattice∘population,0.1374,0.251,0.251,0.9136,0.0163
55,3,population∘kuramoto,0.1523,0.2765,0.2765,0.9234,0.0905
55,4,kuramoto∘lotka_volterra,0.0905,0.2067,0.2067,0.9363,0.3517
55,5,lotka_volterra∘replicator,0.084,0.1847,0.1847,0.9364,0.3986
56,0,lotka_volterra,0.0288,0.1368,0.1368,0.9492,0.0
56,1,lotka_volterra∘replicator,0.0531,0.1497,0.1497,0.9428,0.8456
56,2,replicator∘kuramoto,0.1102,0.2259,0.2259,0.938,2.8284
