domain,variant,target,R2
nonlinear_oscillator,standardized,poss_reachable_volume,0.37697476716202805
nonlinear_oscillator,standardized,poss_branching_diversity,0.028307474702313762
nonlinear_oscillator,standardized,poss_adaptive_recovery,0.2531738284955607
nonlinear_oscillator,standardized,poss_future_entropy,0.27507645020270344
nonlinear_oscillator,standardized,poss_divergence_capacity,0.1994926240701682
nonlinear_oscillator,standardized,poss_stability_fertility_coupling,0.219096882353078
population,standardized,poss_reachable_volume,0.4203247238890888
population,standardized,poss_branching_diversity,0.019215230459143195
population,standardized,poss_adaptive_recovery,0.14245242663036273
population,standardized,poss_future_entropy,0.5006225946526961
population,standardized,poss_divergence_capacity,0.5864551142931799
population,standardized,poss_stability_fertility_coupling,0.12982929696703405
replicator,standardized,poss_reachable_volume,-0.016267909389537483
replicator,standardized,poss_branching_diversity,0.04717391869222598
replicator,standardized,poss_adaptive_recovery,0.10897301588179131
replicator,standardized,poss_future_entropy,0.06960404747943894
replicator,standardized,poss_divergence_capacity,0.021943330297073405
replicator,standardized,poss_stability_fertility_coupling,-0.014495095154744675
