domain,k,target,R2
cellular_automata,50,poss_adaptive_recovery,0.0036266254578581902
cellular_automata,50,poss_future_entropy,0.23076592919638417
cellular_automata,50,poss_divergence_capacity,0.3081968729051723
cellular_automata,50,poss_stability_fertility_coupling,0.16974877216269224
coupled_map_lattice,5,poss_reachable_volume,-0.2589585447095655
coupled_map_lattice,5,poss_branching_diversity,-0.06081885416071264
coupled_map_lattice,5,poss_adaptive_recovery,-0.14393532803243247
coupled_map_lattice,5,poss_future_entropy,-0.45912232204175685
coupled_map_lattice,5,poss_divergence_capacity,-0.06894489175909091
coupled_map_lattice,5,poss_stability_fertility_coupling,-0.26337363737726127
coupled_map_lattice,10,poss_reachable_volume,-0.32204730478395227
coupled_map_lattice,10,poss_branching_diversity,-0.19861835201026468
coupled_map_lattice,10,poss_adaptive_recovery,-0.0029081655258209604
coupled_map_lattice,10,poss_future_entropy,-0.46434490575920284
coupled_map_lattice,10,poss_divergence_capacity,-0.13241163013217228
coupled_map_lattice,10,poss_stability_fertility_coupling,-0.3955071275616706
coupled_map_lattice,20,poss_reachable_volume,0.0786485308212509
coupled_map_lattice,20,poss_branching_diversity,-0.08339453799143182
coupled_map_lattice,20,poss_adaptive_recovery,-0.009379468838722982
coupled_map_lattice,20,poss_future_entropy,0.07274205418653601
coupled_map_lattice,20,poss_divergence_capacity,0.035651320099035044
coupled_map_lattice,20,poss_stability_fertility_coupling,0.042062075380853825
coupled_map_lattice,30,poss_reachable_volume,0.27879258059055356
coupled_map_lattice,30,poss_branching_diversity,0.05940575901075673
coupled_map_lattice,30,poss_adaptive_recovery,0.12701935432616795
coupled_map_lattice,30,poss_future_entropy,0.3036407676657338
coupled_map_lattice,30,poss_divergence_capacity,0.0849516445547035
coupled_map_lattice,30,poss_stability_fertility_coupling,0.21503177965495734
coupled_map_lattice,50,poss_reachable_volume,0.34772554772917674
coupled_map_lattice,50,poss_branching_diversity,0.078085587587848
coupled_map_lattice,50,poss_adaptive_recovery,0.16063695331009042
coupled_map_lattice,50,poss_future_entropy,0.41769471157152505
coupled_map_lattice,50,poss_divergence_capacity,0.22652045006532917
coupled_map_lattice,50,poss_stability_fertility_coupling,0.27820130545498134
graph_diffusion,5,poss_reachable_volume,0.2717091125247144
graph_diffusion,5,poss_branching_diversity,0.0986096717196574
graph_diffusion,5,poss_adaptive_recovery,-0.051249349217764584
graph_diffusion,5,poss_future_entropy,0.13688498774016655
graph_diffusion,5,poss_divergence_capacity,0.40468109532941887
graph_diffusion,5,poss_stability_fertility_coupling,0.30329686564744385
graph_diffusion,10,poss_reachable_volume,0.4134332884672174
graph_diffusion,10,poss_branching_diversity,0.13175162423967357
graph_diffusion,10,poss_adaptive_recovery,0.01510605501740514
graph_diffusion,10,poss_future_entropy,0.09007463945467953
graph_diffusion,10,poss_divergence_capacity,0.517439649075924
graph_diffusion,10,poss_stability_fertility_coupling,0.480035746350723
graph_diffusion,20,poss_reachable_volume,0.5340470887006814
graph_diffusion,20,poss_branching_diversity,0.11516774725788592
graph_diffusion,20,poss_adaptive_recovery,0.04194694463031101
graph_diffusion,20,poss_future_entropy,0.1475018851525829
graph_diffusion,20,poss_divergence_capacity,0.6774039358444656
graph_diffusion,20,poss_stability_fertility_coupling,0.6595221091899369
graph_diffusion,30,poss_reachable_volume,0.5390603857126357
graph_diffusion,30,poss_branching_diversity,0.1390994613751999
graph_diffusion,30,poss_adaptive_recovery,0.031888898394266785
graph_diffusion,30,poss_future_entropy,0.18583467974345624
graph_diffusion,30,poss_divergence_capacity,0.6768204210164417
graph_diffusion,30,poss_stability_fertility_coupling,0.5878184069636456
graph_diffusion,50,poss_reachable_volume,0.4855131407586588
graph_diffusion,50,poss_branching_diversity,0.165134731439747
graph_diffusion,50,poss_adaptive_recovery,0.008271126787897765
graph_diffusion,50,poss_future_entropy,0.09670017458813107
graph_diffusion,50,poss_divergence_capacity,0.6111397041916042
graph_diffusion,50,poss_stability_fertility_coupling,0.5646239684718052
gray_scott,5,poss_reachable_volume,0.28361297453036916
gray_scott,5,poss_branching_diversity,0.1267191043716791
gray_scott,5,poss_adaptive_recovery,-0.08753763849347496
gray_scott,5,poss_future_entropy,-0.10862838161247024
gray_scott,5,poss_divergence_capacity,-0.014101226719131166
gray_scott,5,poss_stability_fertility_coupling,0.2059779590096178
gray_scott,10,poss_reachable_volume,0.4149026917656994
gray_scott,10,poss_branching_diversity,0.2021240207720818
gray_scott,10,poss_adaptive_recovery,0.11725333203804622
gray_scott,10,poss_future_entropy,0.2393555833352673
gray_scott,10,poss_divergence_capacity,0.07682224408645699
gray_scott,10,poss_stability_fertility_coupling,0.25715962820372484
gray_scott,20,poss_reachable_volume,0.4485521685233498
gray_scott,20,poss_branching_diversity,0.2046719635621952
gray_scott,20,poss_adaptive_recovery,0.18508220245567175
gray_scott,20,poss_future_entropy,0.2802721813936566
gray_scott,20,poss_divergence_capacity,0.08321640380754114
gray_scott,20,poss_stability_fertility_coupling,0.3140726912612176
gray_scott,30,poss_reachable_volume,0.4681957413206713
gray_scott,30,poss_branching_diversity,0.1916704715336326
gray_scott,30,poss_adaptive_recovery,0.21078197675050592
gray_scott,30,poss_future_entropy,0.23845798355586034
gray_scott,30,poss_divergence_capacity,0.0678386881359051
gray_scott,30,poss_stability_fertility_coupling,0.26522876127465445
gray_scott,50,poss_reachable_volume,0.4406859081506732
gray_scott,50,poss_branching_diversity,0.1570039572467159
gray_scott,50,poss_adaptive_recovery,0.21357838665264905
gray_scott,50,poss_future_entropy,0.2149684900862443
gray_scott,50,poss_divergence_capacity,0.07437420575575637
gray_scott,50,poss_stability_fertility_coupling,0.2375766251508019
kuramoto,5,poss_reachable_volume,-0.0069291927774115525
kuramoto,5,poss_branching_diversity,-0.032972868111433185
kuramoto,5,poss_adaptive_recovery,-0.029016756974146185
kuramoto,5,poss_future_entropy,-0.027349931819314
kuramoto,5,poss_divergence_capacity,-0.05761179983223008
kuramoto,5,poss_stability_fertility_coupling,-0.03886162919874314
kuramoto,10,poss_reachable_volume,0.08613707490310218
kuramoto,10,poss_branching_diversity,-0.004701326507567716
kuramoto,10,poss_adaptive_recovery,0.012134080098329614
kuramoto,10,poss_future_entropy,0.15402122114025607
kuramoto,10,poss_divergence_capacity,0.22373888912119633
kuramoto,10,poss_stability_fertility_coupling,0.013308508046262268
kuramoto,20,poss_reachable_volume,0.2072891724726441
kuramoto,20,poss_branching_diversity,0.022185949294526774
kuramoto,20,poss_adaptive_recovery,0.05681304537063647
kuramoto,20,poss_future_entropy,0.23094408083194817
kuramoto,20,poss_divergence_capacity,0.23040491677698283
kuramoto,20,poss_stability_fertility_coupling,0.026897731240833944
kuramoto,30,poss_reachable_volume,0.28759009065363106
kuramoto,30,poss_branching_diversity,0.025860037189162743
kuramoto,30,poss_adaptive_recovery,0.08099642026390363
kuramoto,30,poss_future_entropy,0.2869072143127538
kuramoto,30,poss_divergence_capacity,0.3226428277753357
kuramoto,30,poss_stability_fertility_coupling,0.02824284820717693
kuramoto,50,poss_reachable_volume,0.37028275731008253
kuramoto,50,poss_branching_diversity,0.031121345013974677
kuramoto,50,poss_adaptive_recovery,0.1134302844315973
kuramoto,50,poss_future_entropy,0.3891052699575118
kuramoto,50,poss_divergence_capacity,0.38465403129058573
kuramoto,50,poss_stability_fertility_coupling,0.04126889219096763
lotka_volterra,5,poss_reachable_volume,-0.11399500458216583
lotka_volterra,5,poss_branching_diversity,-0.09331137821420032
lotka_volterra,5,poss_adaptive_recovery,-0.07394074413349228
lotka_volterra,5,poss_future_entropy,-0.05177188250157694
lotka_volterra,5,poss_divergence_capacity,-0.1531786715182757
lotka_volterra,5,poss_stability_fertility_coupling,-0.3159205324833734
lotka_volterra,10,poss_reachable_volume,-0.0028915049331801335
lotka_volterra,10,poss_branching_diversity,0.018798741069948388
lotka_volterra,10,poss_adaptive_recovery,-0.028961834703720823
lotka_volterra,10,poss_future_entropy,-0.015548473189798573
lotka_volterra,10,poss_divergence_capacity,0.13512862609379195
lotka_volterra,10,poss_stability_fertility_coupling,-0.02283070790063535
lotka_volterra,20,poss_reachable_volume,0.03118713457363609
lotka_volterra,20,poss_branching_diversity,0.004799478338849639
lotka_volterra,20,poss_adaptive_recovery,-0.006777045387269531
lotka_volterra,20,poss_future_entropy,0.007213843659163666
lotka_volterra,20,poss_divergence_capacity,0.20861019472932274
lotka_volterra,20,poss_stability_fertility_coupling,-0.02009104981049603
lotka_volterra,30,poss_reachable_volume,0.03978320702562521
lotka_volterra,30,poss_branching_diversity,0.013895721061322752
lotka_volterra,30,poss_adaptive_recovery,0.014339719000309947
lotka_volterra,30,poss_future_entropy,0.010605606180073779
lotka_volterra,30,poss_divergence_capacity,0.29436939145532426
lotka_volterra,30,poss_stability_fertility_coupling,-0.02051023080558978
lotka_volterra,50,poss_reachable_volume,0.04045003285306403
lotka_volterra,50,poss_branching_diversity,0.006806330627683876
lotka_volterra,50,poss_adaptive_recovery,0.013915825582691443
lotka_volterra,50,poss_future_entropy,0.02216381713105897
lotka_volterra,50,poss_divergence_capacity,0.3848818588383838
lotka_volterra,50,poss_stability_fertility_coupling,-0.018186828814916067
nonlinear_oscillator,5,poss_reachable_volume,-0.008886509082175698
nonlinear_oscillator,5,poss_branching_diversity,-0.018111448039000555
nonlinear_oscillator,5,poss_adaptive_recovery,0.023842434796059297
nonlinear_oscillator,5,poss_future_entropy,0.011857905380427636
nonlinear_oscillator,5,poss_divergence_capacity,-0.012473739905993764
nonlinear_oscillator,5,poss_stability_fertility_coupling,-0.06424819545892979
nonlinear_oscillator,10,poss_reachable_volume,0.24333851509012216
nonlinear_oscillator,10,poss_branching_diversity,-0.026579363663310263
nonlinear_oscillator,10,poss_adaptive_recovery,0.1692126732602518
nonlinear_oscillator,10,poss_future_entropy,0.21050723055941034
nonlinear_oscillator,10,poss_divergence_capacity,0.1633831532604143
nonlinear_oscillator,10,poss_stability_fertility_coupling,0.08291663656928794
nonlinear_oscillator,20,poss_reachable_volume,0.37405446439438184
nonlinear_oscillator,20,poss_branching_diversity,0.015110950909760335
nonlinear_oscillator,20,poss_adaptive_recovery,0.26538767762340454
nonlinear_oscillator,20,poss_future_entropy,0.3149832708058765
nonlinear_oscillator,20,poss_divergence_capacity,0.22408131239052265
nonlinear_oscillator,20,poss_stability_fertility_coupling,0.23967578122359923
nonlinear_oscillator,30,poss_reachable_volume,0.45214247876690616
nonlinear_oscillator,30,poss_branching_diversity,0.014060694614047908
nonlinear_oscillator,30,poss_adaptive_recovery,0.3060576196783791
nonlinear_oscillator,30,poss_future_entropy,0.3587397102649421
nonlinear_oscillator,30,poss_divergence_capacity,0.2654043512748946
nonlinear_oscillator,30,poss_stability_fertility_coupling,0.25915353885814174
nonlinear_oscillator,50,poss_reachable_volume,0.502829669494751
nonlinear_oscillator,50,poss_branching_diversity,-0.012471921732170266
nonlinear_oscillator,50,poss_adaptive_recovery,0.3054595381577838
nonlinear_oscillator,50,poss_future_entropy,0.3848057833637245
nonlinear_oscillator,50,poss_divergence_capacity,0.2722033721101317
nonlinear_oscillator,50,poss_stability_fertility_coupling,0.2527467663449584
population,5,poss_reachable_volume,0.11442218823500738
population,5,poss_branching_diversity,-0.02687206105407136
population,5,poss_adaptive_recovery,0.03906601090132211
population,5,poss_future_entropy,0.09055258965384694
population,5,poss_divergence_capacity,0.10690259383307044
population,5,poss_stability_fertility_coupling,0.05208877182432925
population,10,poss_reachable_volume,0.30050683440087433
population,10,poss_branching_diversity,-0.03840849626366927
population,10,poss_adaptive_recovery,0.09454018724301805
population,10,poss_future_entropy,0.32139754461852443
population,10,poss_divergence_capacity,0.3018188736899484
population,10,poss_stability_fertility_coupling,0.07842694469768574
population,20,poss_reachable_volume,0.011320532248910942
population,20,poss_branching_diversity,-0.06877164321299079
population,20,poss_adaptive_recovery,0.00405152963898614
population,20,poss_future_entropy,0.06371207400187529
population,20,poss_divergence_capacity,0.07723767956940375
population,20,poss_stability_fertility_coupling,-0.1530933345519796
population,30,poss_reachable_volume,0.1426828240981557
population,30,poss_branching_diversity,0.034798824808219386
population,30,poss_adaptive_recovery,0.034283283740452086
population,30,poss_future_entropy,0.11579998684127446
population,30,poss_divergence_capacity,0.1106153763535912
population,30,poss_stability_fertility_coupling,0.08889094302190959
population,50,poss_reachable_volume,0.6441212790806752
population,50,poss_branching_diversity,0.16211808281812257
population,50,poss_adaptive_recovery,0.29210157514892454
population,50,poss_future_entropy,0.808229149312185
population,50,poss_divergence_capacity,0.7846817741085588
population,50,poss_stability_fertility_coupling,0.18215540799219865
replicator,5,poss_reachable_volume,-0.00015237357946240593
replicator,5,poss_branching_diversity,0.0026855024395532334
replicator,5,poss_adaptive_recovery,-0.026631153688063236
replicator,5,poss_future_entropy,-0.04564332286405226
replicator,5,poss_divergence_capacity,-0.005728353290299193
replicator,5,poss_stability_fertility_coupling,0.00042202731639340296
replicator,10,poss_reachable_volume,-0.009131634130377986
replicator,10,poss_branching_diversity,0.008490068246858828
replicator,10,poss_adaptive_recovery,0.048499424584032336
replicator,10,poss_future_entropy,-0.03059298339299188
replicator,10,poss_divergence_capacity,-0.011919902106363622
replicator,10,poss_stability_fertility_coupling,-0.0006577892173813549
replicator,20,poss_reachable_volume,-0.019444618514819156
replicator,20,poss_branching_diversity,0.024497312057261578
replicator,20,poss_adaptive_recovery,0.05739062353887714
replicator,20,poss_future_entropy,-0.031150972228587426
replicator,20,poss_divergence_capacity,-0.016510016139158923
replicator,20,poss_stability_fertility_coupling,-0.01289431331535651
replicator,30,poss_reachable_volume,-0.017480054398018918
replicator,30,poss_branching_diversity,0.05343982415718418
replicator,30,poss_adaptive_recovery,0.10839604971408634
replicator,30,poss_future_entropy,0.050327133509732835
replicator,30,poss_divergence_capacity,0.022081956595842667
replicator,30,poss_stability_fertility_coupling,-0.009467915518938552
replicator,50,poss_reachable_volume,0.05509319761432496
replicator,50,poss_branching_diversity,0.02274796574567739
replicator,50,poss_adaptive_recovery,0.16332956706259993
replicator,50,poss_future_entropy,0.013683440450244833
replicator,50,poss_divergence_capacity,0.02856735115912301
replicator,50,poss_stability_fertility_coupling,0.06491705111900792
