depth,sector,persistence_renewal,repair_strength,degradation_containment,cooperative_maintenance_gain,recursive_retention_regeneration,rg_similarity,classification
1,Projection-Neutral,0.7922,0.8015,0.7216,0.0822,0.7969,0.8874,WEAKLY_SELF-MAINTAINING
2,Projection-Neutral,0.7951,0.7755,0.6873,0.0785,0.7853,0.8716,WEAKLY_SELF-MAINTAINING
4,Projection-Neutral,0.7846,0.7483,0.6732,0.0753,0.7664,0.8426,WEAKLY_SELF-MAINTAINING
6,Projection-Neutral,0.743,0.7242,0.646,0.081,0.7336,0.8544,DEGRADATION-DEGRADING
8,Projection-Neutral,0.7405,0.7045,0.6535,0.067,0.7225,0.8339,WEAKLY_SELF-MAINTAINING
12,Projection-Neutral,0.6939,0.6768,0.6013,0.0742,0.6854,0.7548,DEGRADATION-DEGRADING
16,Projection-Neutral,0.6538,0.6401,0.5682,0.0,0.647,0.7288,DEGRADATION-DEGRADING
20,Projection-Neutral,0.6305,0.6012,0.5544,0.0,0.6159,0.7366,COLLAPSING
1,Antisymmetry-Neutral,0.7937,0.7834,0.7152,0.0837,0.7886,0.858,WEAKLY_SELF-MAINTAINING
2,Antisymmetry-Neutral,0.7864,0.7994,0.6813,0.0761,0.7929,0.8844,WEAKLY_SELF-MAINTAINING
4,Antisymmetry-Neutral,0.7822,0.7564,0.6904,0.067,0.7693,0.8263,WEAKLY_SELF-MAINTAINING
6,Antisymmetry-Neutral,0.734,0.7393,0.6504,0.072,0.7366,0.8175,WEAKLY_SELF-MAINTAINING
8,Antisymmetry-Neutral,0.7465,0.7253,0.6283,0.0668,0.7359,0.8273,DEGRADATION-DEGRADING
12,Antisymmetry-Neutral,0.707,0.6876,0.6105,0.0774,0.6973,0.7663,DEGRADATION-DEGRADING
16,Antisymmetry-Neutral,0.6637,0.6362,0.5887,0.0,0.6499,0.7449,DEGRADATION-DEGRADING
20,Antisymmetry-Neutral,0.6418,0.616,0.5557,0.0,0.6289,0.6927,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8252,0.7994,0.7243,0.0813,0.8123,0.8582,WEAKLY_SELF-MAINTAINING
2,Projection-Antisymmetry-Neutral,0.8091,0.7907,0.6923,0.0807,0.7999,0.8482,WEAKLY_SELF-MAINTAINING
4,Projection-Antisymmetry-Neutral,0.7785,0.7654,0.6714,0.0687,0.7719,0.8504,WEAKLY_SELF-MAINTAINING
6,Projection-Antisymmetry-Neutral,0.7586,0.7187,0.645,0.0663,0.7386,0.8276,DEGRADATION-DEGRADING
8,Projection-Antisymmetry-Neutral,0.7238,0.701,0.65,0.0813,0.7124,0.8114,DEGRADATION-DEGRADING
12,Projection-Antisymmetry-Neutral,0.6833,0.688,0.6146,0.0819,0.6856,0.7581,DEGRADATION-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6724,0.653,0.58,0.0,0.6627,0.7589,DEGRADATION-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6159,0.6153,0.5602,0.0,0.6156,0.6908,COLLAPSING
