depth,sector,selective_gain,pathway_discrimination,suppression_efficiency,persistence_retention,recursive_selectivity,rg_similarity,classification
1,Projection-Neutral,0.2456,0.8856,0.7689,0.8756,0.8689,0.8689,SELECTIVELY_STABLE
2,Projection-Neutral,0.2245,0.8656,0.7478,0.8556,0.8489,0.8489,SELECTIVELY_STABLE
4,Projection-Neutral,0.1823,0.8256,0.7056,0.8156,0.8089,0.8089,FILTER-PRESERVING
6,Projection-Neutral,0.1401,0.7856,0.6634,0.7756,0.7689,0.7689,WEAKLY_SELECTIVE
8,Projection-Neutral,0.0978,0.7456,0.6212,0.7356,0.7289,0.7289,WEAKLY_SELECTIVE
12,Projection-Neutral,0.0123,0.6656,0.5378,0.6556,0.6489,0.6489,NONDISCRIMINATING
16,Projection-Neutral,-0.0734,0.5856,0.4545,0.5756,0.5689,0.5689,COLLAPSING
20,Projection-Neutral,-0.1590,0.5056,0.3712,0.4956,0.4889,0.4889,COLLAPSING
1,Antisymmetry-Neutral,0.1589,0.7356,0.6256,0.7256,0.7189,0.7189,FILTER-PRESERVING
2,Antisymmetry-Neutral,0.1290,0.7123,0.6012,0.7023,0.6956,0.6956,WEAKLY_SELECTIVE
4,Antisymmetry-Neutral,0.0690,0.6656,0.5523,0.6556,0.6489,0.6489,WEAKLY_SELECTIVE
6,Antisymmetry-Neutral,0.0090,0.6189,0.5034,0.6089,0.6023,0.6023,NONDISCRIMINATING
8,Antisymmetry-Neutral,-0.0510,0.5723,0.4545,0.5623,0.5556,0.5556,COLLAPSING
12,Antisymmetry-Neutral,-0.1712,0.4790,0.3578,0.4690,0.4623,0.4623,COLLAPSING
16,Antisymmetry-Neutral,-0.2912,0.3856,0.2612,0.3756,0.3689,0.3689,COLLAPSING
20,Antisymmetry-Neutral,-0.4112,0.2923,0.1645,0.2823,0.2756,0.2756,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.3212,0.9656,0.8589,0.9589,0.9523,0.9523,SELECTIVELY_STABLE
2,Projection-Antisymmetry-Neutral,0.3045,0.9523,0.8445,0.9456,0.9389,0.9389,SELECTIVELY_STABLE
4,Projection-Antisymmetry-Neutral,0.2712,0.9256,0.8156,0.9189,0.9123,0.9123,SELECTIVELY_STABLE
6,Projection-Antisymmetry-Neutral,0.2378,0.8989,0.7867,0.8923,0.8856,0.8856,SELECTIVELY_STABLE
8,Projection-Antisymmetry-Neutral,0.2045,0.8723,0.7578,0.8656,0.8589,0.8589,FILTER-PRESERVING
12,Projection-Antisymmetry-Neutral,0.1389,0.8190,0.7001,0.8123,0.8056,0.8056,WEAKLY_SELECTIVE
16,Projection-Antisymmetry-Neutral,0.0734,0.7656,0.6423,0.7590,0.7523,0.7523,WEAKLY_SELECTIVE
20,Projection-Antisymmetry-Neutral,0.0078,0.7123,0.5845,0.7056,0.6989,0.6989,WEAKLY_SELECTIVE
