target,train_domain,test_domain,model,R2,MAE,Spearman_r
stability_return_time,population,cellular_automata,Linear,-4.6689,31.7055,-0.016
stability_return_time,population,cellular_automata,Ridge,-4.5341,31.5885,-0.0142
stability_return_time,population,cellular_automata,RF,-9.2726,43.3027,-0.1065
stability_return_time,population,cellular_automata,GB,-12.581,47.514,-0.1901
stability_return_time,population,graph_diffusion,Linear,-0.4284,221.3604,-0.5232
stability_return_time,population,graph_diffusion,Ridge,-0.4247,220.8732,-0.5107
stability_return_time,population,graph_diffusion,RF,-0.3725,217.6784,-0.3402
stability_return_time,population,graph_diffusion,GB,-0.3187,218.6853,-0.1359
stability_return_time,population,nonlinear_oscillator,Linear,-0.1871,59.8218,0.4427
stability_return_time,population,nonlinear_oscillator,Ridge,-0.1823,59.6469,0.4534
stability_return_time,population,nonlinear_oscillator,RF,-0.2541,59.8793,0.1773
stability_return_time,population,nonlinear_oscillator,GB,-0.2632,64.1811,0.1489
stability_return_time,population,population,Linear,0.4719,22.0032,0.6356
stability_return_time,population,population,Ridge,0.4719,21.985,0.6348
stability_return_time,population,population,RF,0.9133,7.4705,0.8941
stability_return_time,population,population,GB,0.9494,7.114,0.7503
stability_recovery_rate,cellular_automata,cellular_automata,Linear,0.2887,0.0076,0.5575
stability_recovery_rate,cellular_automata,cellular_automata,Ridge,0.2887,0.0076,0.5575
stability_recovery_rate,cellular_automata,cellular_automata,RF,0.8928,0.0025,0.862
stability_recovery_rate,cellular_automata,cellular_automata,GB,0.7684,0.0041,0.7113
stability_recovery_rate,cellular_automata,graph_diffusion,Linear,-2.6712,0.0124,-0.1182
stability_recovery_rate,cellular_automata,graph_diffusion,Ridge,-2.6615,0.0124,-0.1175
stability_recovery_rate,cellular_automata,graph_diffusion,RF,-3.4304,0.014,-0.4002
stability_recovery_rate,cellular_automata,graph_diffusion,GB,-3.6538,0.0143,-0.2842
stability_recovery_rate,cellular_automata,nonlinear_oscillator,Linear,-1.9352,0.0395,-0.2976
stability_recovery_rate,cellular_automata,nonlinear_oscillator,Ridge,-1.934,0.0395,-0.2974
stability_recovery_rate,cellular_automata,nonlinear_oscillator,RF,-2.276,0.0425,-0.2809
stability_recovery_rate,cellular_automata,nonlinear_oscillator,GB,-2.247,0.0424,-0.2008
stability_recovery_rate,cellular_automata,population,Linear,-1.4384,0.0595,0.0809
stability_recovery_rate,cellular_automata,population,Ridge,-1.4381,0.0595,0.0806
stability_recovery_rate,cellular_automata,population,RF,-1.5671,0.0615,-0.0447
stability_recovery_rate,cellular_automata,population,GB,-1.6284,0.0621,0.0636
stability_recovery_rate,graph_diffusion,cellular_automata,Linear,-0.7653,0.0159,-0.2863
stability_recovery_rate,graph_diffusion,cellular_automata,Ridge,-0.7561,0.0158,-0.2952
stability_recovery_rate,graph_diffusion,cellular_automata,RF,-0.5965,0.0157,0.0151
stability_recovery_rate,graph_diffusion,cellular_automata,GB,-0.7741,0.0166,-0.0914
stability_recovery_rate,graph_diffusion,graph_diffusion,Linear,0.2548,0.0055,0.532
stability_recovery_rate,graph_diffusion,graph_diffusion,Ridge,0.2547,0.0056,0.5334
stability_recovery_rate,graph_diffusion,graph_diffusion,RF,0.9162,0.0017,0.9743
stability_recovery_rate,graph_diffusion,graph_diffusion,GB,0.7671,0.0028,0.9081
stability_recovery_rate,graph_diffusion,nonlinear_oscillator,Linear,-1.1217,0.0338,0.1172
stability_recovery_rate,graph_diffusion,nonlinear_oscillator,Ridge,-1.1169,0.0338,0.1232
stability_recovery_rate,graph_diffusion,nonlinear_oscillator,RF,-1.0555,0.0333,-0.0111
stability_recovery_rate,graph_diffusion,nonlinear_oscillator,GB,-1.0084,0.033,0.0165
stability_recovery_rate,graph_diffusion,population,Linear,-1.0888,0.0548,0.0091
stability_recovery_rate,graph_diffusion,population,Ridge,-1.0855,0.0547,0.0142
stability_recovery_rate,graph_diffusion,population,RF,-0.9961,0.0527,0.0495
stability_recovery_rate,graph_diffusion,population,GB,-0.9813,0.0525,0.1158
stability_recovery_rate,nonlinear_oscillator,cellular_automata,Linear,-8.3537,0.039,-0.1115
stability_recovery_rate,nonlinear_oscillator,cellular_automata,Ridge,-8.3478,0.039,-0.1132
stability_recovery_rate,nonlinear_oscillator,cellular_automata,RF,-4.626,0.0248,0.0314
stability_recovery_rate,nonlinear_oscillator,cellular_automata,GB,-6.6188,0.028,0.0444
stability_recovery_rate,nonlinear_oscillator,graph_diffusion,Linear,-16.4639,0.0293,0.1062
stability_recovery_rate,nonlinear_oscillator,graph_diffusion,Ridge,-16.4392,0.0293,0.107
stability_recovery_rate,nonlinear_oscillator,graph_diffusion,RF,-17.1513,0.0243,0.051
stability_recovery_rate,nonlinear_oscillator,graph_diffusion,GB,-20.0,0.0274,0.0429
stability_recovery_rate,nonlinear_oscillator,nonlinear_oscillator,Linear,0.2785,0.02,0.5821
stability_recovery_rate,nonlinear_oscillator,nonlinear_oscillator,Ridge,0.2785,0.02,0.5814
stability_recovery_rate,nonlinear_oscillator,nonlinear_oscillator,RF,0.9167,0.0062,0.9584
stability_recovery_rate,nonlinear_oscillator,nonlinear_oscillator,GB,0.8111,0.0095,0.9098
stability_recovery_rate,nonlinear_oscillator,population,Linear,0.0032,0.0361,0.3497
stability_recovery_rate,nonlinear_oscillator,population,Ridge,0.0029,0.0361,0.3496
stability_recovery_rate,nonlinear_oscillator,population,RF,0.0915,0.0334,0.3843
stability_recovery_rate,nonlinear_oscillator,population,GB,0.1554,0.0324,0.4667
stability_recovery_rate,population,cellular_automata,Linear,-20.0,0.0837,0.1377
stability_recovery_rate,population,cellular_automata,Ridge,-20.0,0.0703,0.1257
stability_recovery_rate,population,cellular_automata,RF,-17.4263,0.0528,0.0195
stability_recovery_rate,population,cellular_automata,GB,-20.0,0.0582,0.1094
stability_recovery_rate,population,graph_diffusion,Linear,-20.0,0.0578,0.0856
stability_recovery_rate,population,graph_diffusion,Ridge,-20.0,0.0522,0.0645
stability_recovery_rate,population,graph_diffusion,RF,-20.0,0.0531,0.22
stability_recovery_rate,population,graph_diffusion,GB,-20.0,0.0547,0.1951
stability_recovery_rate,population,nonlinear_oscillator,Linear,-10.6165,0.0575,0.2723
stability_recovery_rate,population,nonlinear_oscillator,Ridge,-7.1134,0.0496,0.2771
stability_recovery_rate,population,nonlinear_oscillator,RF,-0.6348,0.0301,-0.0578
stability_recovery_rate,population,nonlinear_oscillator,GB,-1.1776,0.0336,-0.2574
stability_recovery_rate,population,population,Linear,0.4171,0.0283,0.6665
stability_recovery_rate,population,population,Ridge,0.4118,0.0286,0.6615
stability_recovery_rate,population,population,RF,0.9424,0.0063,0.9734
stability_recovery_rate,population,population,GB,0.9169,0.009,0.9686
stability_final_dev,cellular_automata,cellular_automata,Linear,0.3028,0.0967,0.6289
stability_final_dev,cellular_automata,cellular_automata,Ridge,0.3028,0.0966,0.6289
stability_final_dev,cellular_automata,cellular_automata,RF,0.8959,0.0346,0.9183
stability_final_dev,cellular_automata,cellular_automata,GB,0.7185,0.0595,0.8058
stability_final_dev,cellular_automata,graph_diffusion,Linear,-2.8582,0.1757,-0.3349
stability_final_dev,cellular_automata,graph_diffusion,Ridge,-2.8508,0.1756,-0.3367
stability_final_dev,cellular_automata,graph_diffusion,RF,-3.1336,0.1902,0.1619
stability_final_dev,cellular_automata,graph_diffusion,GB,-2.7206,0.1777,0.0553
stability_final_dev,cellular_automata,nonlinear_oscillator,Linear,-0.0801,0.383,-0.3586
stability_final_dev,cellular_automata,nonlinear_oscillator,Ridge,-0.0797,0.3828,-0.3575
stability_final_dev,cellular_automata,nonlinear_oscillator,RF,-0.08,0.4034,-0.3598
stability_final_dev,cellular_automata,nonlinear_oscillator,GB,-0.0778,0.3974,-0.3028
stability_final_dev,cellular_automata,population,Linear,-0.8216,0.1747,-0.1779
stability_final_dev,cellular_automata,population,Ridge,-0.8175,0.1745,-0.1758
stability_final_dev,cellular_automata,population,RF,-1.2891,0.1955,-0.3733
stability_final_dev,cellular_automata,population,GB,-0.9258,0.1779,-0.1999
stability_final_dev,graph_diffusion,cellular_automata,Linear,-1.4298,0.178,-0.5075
stability_final_dev,graph_diffusion,cellular_automata,Ridge,-1.4364,0.1779,-0.5257
stability_final_dev,graph_diffusion,cellular_automata,RF,-1.7412,0.195,-0.4625
stability_final_dev,graph_diffusion,cellular_automata,GB,-1.8107,0.1963,-0.5485
stability_final_dev,graph_diffusion,graph_diffusion,Linear,0.5153,0.0283,0.5824
stability_final_dev,graph_diffusion,graph_diffusion,Ridge,0.5153,0.0282,0.5864
stability_final_dev,graph_diffusion,graph_diffusion,RF,0.9218,0.0085,0.6873
stability_final_dev,graph_diffusion,graph_diffusion,GB,0.9951,0.003,0.6353
stability_final_dev,graph_diffusion,nonlinear_oscillator,Linear,-0.0946,0.3138,0.4571
stability_final_dev,graph_diffusion,nonlinear_oscillator,Ridge,-0.0962,0.3135,0.4362
stability_final_dev,graph_diffusion,nonlinear_oscillator,RF,-0.1463,0.315,0.2788
stability_final_dev,graph_diffusion,nonlinear_oscillator,GB,-0.1562,0.3085,0.1807
stability_final_dev,graph_diffusion,population,Linear,-0.1945,0.0802,0.1349
stability_final_dev,graph_diffusion,population,Ridge,-0.2056,0.0806,0.1067
stability_final_dev,graph_diffusion,population,RF,-0.5037,0.0768,0.1351
stability_final_dev,graph_diffusion,population,GB,-0.6568,0.0778,0.1691
stability_final_dev,nonlinear_oscillator,cellular_automata,Linear,-2.8096,0.2362,-0.0794
stability_final_dev,nonlinear_oscillator,cellular_automata,Ridge,-2.7866,0.2356,-0.0805
stability_final_dev,nonlinear_oscillator,cellular_automata,RF,-13.93,0.3834,0.0673
stability_final_dev,nonlinear_oscillator,cellular_automata,GB,-18.7976,0.4766,-0.0632
stability_final_dev,nonlinear_oscillator,graph_diffusion,Linear,-13.1016,0.3155,-0.7011
stability_final_dev,nonlinear_oscillator,graph_diffusion,Ridge,-12.9947,0.3147,-0.7007
stability_final_dev,nonlinear_oscillator,graph_diffusion,RF,-20.0,0.5141,-0.4725
stability_final_dev,nonlinear_oscillator,graph_diffusion,GB,-20.0,0.7272,-0.427
stability_final_dev,nonlinear_oscillator,nonlinear_oscillator,Linear,0.0775,0.4255,0.4801
stability_final_dev,nonlinear_oscillator,nonlinear_oscillator,Ridge,0.0775,0.4254,0.4809
stability_final_dev,nonlinear_oscillator,nonlinear_oscillator,RF,0.8569,0.144,0.6647
stability_final_dev,nonlinear_oscillator,nonlinear_oscillator,GB,0.8472,0.1609,0.649
stability_final_dev,nonlinear_oscillator,population,Linear,-4.1387,0.2898,0.4441
stability_final_dev,nonlinear_oscillator,population,Ridge,-4.1156,0.2892,0.4439
stability_final_dev,nonlinear_oscillator,population,RF,-7.2948,0.2424,0.412
stability_final_dev,nonlinear_oscillator,population,GB,-5.2778,0.2117,0.3691
stability_final_dev,population,cellular_automata,Linear,-0.7445,0.1398,0.2186
stability_final_dev,population,cellular_automata,Ridge,-0.6746,0.1361,0.2553
stability_final_dev,population,cellular_automata,RF,-0.87,0.1406,0.0253
stability_final_dev,population,cellular_automata,GB,-1.7266,0.1761,-0.218
stability_final_dev,population,graph_diffusion,Linear,-2.3483,0.1317,-0.5929
stability_final_dev,population,graph_diffusion,Ridge,-2.1799,0.1279,-0.5815
stability_final_dev,population,graph_diffusion,RF,-4.0405,0.1297,-0.2417
stability_final_dev,population,graph_diffusion,GB,-3.8525,0.1055,-0.0479
stability_final_dev,population,nonlinear_oscillator,Linear,-0.0879,0.3034,0.217
stability_final_dev,population,nonlinear_oscillator,Ridge,-0.0871,0.3015,0.2463
stability_final_dev,population,nonlinear_oscillator,RF,-0.127,0.2822,0.415
stability_final_dev,population,nonlinear_oscillator,GB,-0.1318,0.2844,0.1032
stability_final_dev,population,population,Linear,0.4569,0.0565,0.6691
stability_final_dev,population,population,Ridge,0.4568,0.0562,0.6711
stability_final_dev,population,population,RF,0.9065,0.0195,0.6343
stability_final_dev,population,population,GB,0.9534,0.0151,0.6118
stability_max_dev,cellular_automata,cellular_automata,Linear,0.2864,0.1263,0.6024
stability_max_dev,cellular_automata,cellular_automata,Ridge,0.2864,0.1262,0.6021
stability_max_dev,cellular_automata,cellular_automata,RF,0.9274,0.0363,0.8708
stability_max_dev,cellular_automata,cellular_automata,GB,0.8138,0.0578,0.7611
stability_max_dev,cellular_automata,graph_diffusion,Linear,-20.0,0.4152,0.4658
stability_max_dev,cellular_automata,graph_diffusion,Ridge,-20.0,0.4152,0.4686
stability_max_dev,cellular_automata,graph_diffusion,RF,-20.0,0.415,0.4461
stability_max_dev,cellular_automata,graph_diffusion,GB,-20.0,0.4315,0.4011
stability_max_dev,cellular_automata,nonlinear_oscillator,Linear,-0.5746,0.7956,-0.2273
stability_max_dev,cellular_automata,nonlinear_oscillator,Ridge,-0.5743,0.7955,-0.2271
stability_max_dev,cellular_automata,nonlinear_oscillator,RF,-0.5422,0.7855,-0.086
stability_max_dev,cellular_automata,nonlinear_oscillator,GB,-0.5597,0.7966,-0.1035
stability_max_dev,cellular_automata,population,Linear,-0.1253,0.2108,-0.026
stability_max_dev,cellular_automata,population,Ridge,-0.1231,0.2105,-0.0254
stability_max_dev,cellular_automata,population,RF,-0.1823,0.2063,-0.1057
stability_max_dev,cellular_automata,population,GB,-0.2912,0.2076,-0.2838
stability_max_dev,graph_diffusion,cellular_automata,Linear,-4.4589,0.4252,0.0544
stability_max_dev,graph_diffusion,cellular_automata,Ridge,-4.4639,0.4257,0.0644
stability_max_dev,graph_diffusion,cellular_automata,RF,-4.5879,0.4304,0.1171
stability_max_dev,graph_diffusion,cellular_automata,GB,-4.5753,0.43,0.3148
stability_max_dev,graph_diffusion,graph_diffusion,Linear,0.9176,0.0013,0.957
stability_max_dev,graph_diffusion,graph_diffusion,Ridge,0.912,0.0016,0.9582
stability_max_dev,graph_diffusion,graph_diffusion,RF,0.9864,0.0004,0.987
stability_max_dev,graph_diffusion,graph_diffusion,GB,0.9972,0.0004,0.9982
stability_max_dev,graph_diffusion,nonlinear_oscillator,Linear,-0.0993,0.5981,0.358
stability_max_dev,graph_diffusion,nonlinear_oscillator,Ridge,-0.1019,0.599,0.3558
stability_max_dev,graph_diffusion,nonlinear_oscillator,RF,-0.1073,0.6016,0.1237
stability_max_dev,graph_diffusion,nonlinear_oscillator,GB,-0.1081,0.6017,0.1891
stability_max_dev,graph_diffusion,population,Linear,-3.2245,0.4758,0.4187
stability_max_dev,graph_diffusion,population,Ridge,-3.2429,0.4771,0.4431
stability_max_dev,graph_diffusion,population,RF,-3.2757,0.48,0.6072
stability_max_dev,graph_diffusion,population,GB,-3.2809,0.4803,0.6408
stability_max_dev,nonlinear_oscillator,cellular_automata,Linear,-19.3456,0.7787,-0.08
stability_max_dev,nonlinear_oscillator,cellular_automata,Ridge,-19.2972,0.7781,-0.0808
stability_max_dev,nonlinear_oscillator,cellular_automata,RF,-20.0,1.1263,-0.0547
stability_max_dev,nonlinear_oscillator,cellular_automata,GB,-20.0,1.0652,-0.0905
stability_max_dev,nonlinear_oscillator,graph_diffusion,Linear,-20.0,0.4303,0.4927
stability_max_dev,nonlinear_oscillator,graph_diffusion,Ridge,-20.0,0.4282,0.4924
stability_max_dev,nonlinear_oscillator,graph_diffusion,RF,-20.0,0.8836,0.6573
stability_max_dev,nonlinear_oscillator,graph_diffusion,GB,-20.0,0.898,0.6005
stability_max_dev,nonlinear_oscillator,nonlinear_oscillator,Linear,0.1233,0.6348,0.3418
stability_max_dev,nonlinear_oscillator,nonlinear_oscillator,Ridge,0.1233,0.6345,0.3403
stability_max_dev,nonlinear_oscillator,nonlinear_oscillator,RF,0.8533,0.2433,0.8611
stability_max_dev,nonlinear_oscillator,nonlinear_oscillator,GB,0.8446,0.3145,0.7098
stability_max_dev,nonlinear_oscillator,population,Linear,-12.6607,0.8145,0.2609
stability_max_dev,nonlinear_oscillator,population,Ridge,-12.6332,0.8138,0.2617
stability_max_dev,nonlinear_oscillator,population,RF,-13.7339,0.8184,0.3773
stability_max_dev,nonlinear_oscillator,population,GB,-12.0759,0.7026,0.3327
stability_max_dev,population,cellular_automata,Linear,-0.6588,0.1824,0.3686
stability_max_dev,population,cellular_automata,Ridge,-0.5816,0.1807,0.3739
stability_max_dev,population,cellular_automata,RF,-0.8189,0.1675,-0.106
stability_max_dev,population,cellular_automata,GB,-1.2346,0.1995,-0.2332
stability_max_dev,population,graph_diffusion,Linear,-20.0,0.4444,0.9032
stability_max_dev,population,graph_diffusion,Ridge,-20.0,0.4444,0.9097
stability_max_dev,population,graph_diffusion,RF,-20.0,0.4545,0.7412
stability_max_dev,population,graph_diffusion,GB,-20.0,0.4655,0.5332
stability_max_dev,population,nonlinear_oscillator,Linear,-0.5514,0.8119,0.0963
stability_max_dev,population,nonlinear_oscillator,Ridge,-0.5509,0.8114,0.0964
stability_max_dev,population,nonlinear_oscillator,RF,-0.6866,0.8791,-0.003
stability_max_dev,population,nonlinear_oscillator,GB,-0.6925,0.8802,-0.0496
stability_max_dev,population,population,Linear,0.7914,0.0796,0.5412
stability_max_dev,population,population,Ridge,0.7913,0.0796,0.542
stability_max_dev,population,population,RF,0.9714,0.0267,0.9566
stability_max_dev,population,population,GB,0.9566,0.0405,0.8441
fertility_state_diversity,cellular_automata,cellular_automata,Linear,0.5972,0.1649,0.9007
fertility_state_diversity,cellular_automata,cellular_automata,Ridge,0.5972,0.1648,0.9005
fertility_state_diversity,cellular_automata,cellular_automata,RF,0.9534,0.0431,0.9877
fertility_state_diversity,cellular_automata,cellular_automata,GB,0.9127,0.0613,0.9599
fertility_state_diversity,cellular_automata,graph_diffusion,Linear,-20.0,0.3802,-0.6105
fertility_state_diversity,cellular_automata,graph_diffusion,Ridge,-20.0,0.3798,-0.6113
fertility_state_diversity,cellular_automata,graph_diffusion,RF,-20.0,0.1975,-0.2592
fertility_state_diversity,cellular_automata,graph_diffusion,GB,-20.0,0.2578,-0.4456
fertility_state_diversity,cellular_automata,nonlinear_oscillator,Linear,-5.7277,0.2841,-0.4193
fertility_state_diversity,cellular_automata,nonlinear_oscillator,Ridge,-5.6755,0.2831,-0.4188
fertility_state_diversity,cellular_automata,nonlinear_oscillator,RF,-3.8412,0.2255,-0.3939
fertility_state_diversity,cellular_automata,nonlinear_oscillator,GB,-4.4789,0.2498,-0.4014
fertility_state_diversity,cellular_automata,population,Linear,-1.0408,0.2822,-0.1171
fertility_state_diversity,cellular_automata,population,Ridge,-1.0254,0.2813,-0.1154
fertility_state_diversity,cellular_automata,population,RF,-0.6745,0.2089,-0.3171
fertility_state_diversity,cellular_automata,population,GB,-0.8661,0.2239,-0.2866
fertility_state_diversity,graph_diffusion,cellular_automata,Linear,-0.988,0.3274,0.0626
fertility_state_diversity,graph_diffusion,cellular_automata,Ridge,-0.9874,0.3274,0.0556
fertility_state_diversity,graph_diffusion,cellular_automata,RF,-0.9875,0.3277,-0.3182
fertility_state_diversity,graph_diffusion,cellular_automata,GB,-0.9874,0.3277,0.1939
fertility_state_diversity,graph_diffusion,graph_diffusion,Linear,0.8278,0.0002,0.75
fertility_state_diversity,graph_diffusion,graph_diffusion,Ridge,0.8039,0.0002,0.7571
fertility_state_diversity,graph_diffusion,graph_diffusion,RF,0.9732,0.0001,0.8756
fertility_state_diversity,graph_diffusion,graph_diffusion,GB,0.9711,0.0001,0.7835
fertility_state_diversity,graph_diffusion,nonlinear_oscillator,Linear,-2.6134,0.2067,-0.6198
fertility_state_diversity,graph_diffusion,nonlinear_oscillator,Ridge,-2.6052,0.2067,-0.6184
fertility_state_diversity,graph_diffusion,nonlinear_oscillator,RF,-2.591,0.207,-0.157
fertility_state_diversity,graph_diffusion,nonlinear_oscillator,GB,-2.5915,0.207,-0.1166
fertility_state_diversity,graph_diffusion,population,Linear,-1.2676,0.2411,-0.4911
fertility_state_diversity,graph_diffusion,population,Ridge,-1.2647,0.2411,-0.5061
fertility_state_diversity,graph_diffusion,population,RF,-1.2553,0.2412,-0.4352
fertility_state_diversity,graph_diffusion,population,GB,-1.2553,0.2412,-0.383
fertility_state_diversity,nonlinear_oscillator,cellular_automata,Linear,-0.1748,0.2742,-0.1546
fertility_state_diversity,nonlinear_oscillator,cellular_automata,Ridge,-0.1749,0.2742,-0.1569
fertility_state_diversity,nonlinear_oscillator,cellular_automata,RF,-0.1841,0.2915,-0.2092
fertility_state_diversity,nonlinear_oscillator,cellular_automata,GB,-0.1657,0.2867,-0.0603
fertility_state_diversity,nonlinear_oscillator,graph_diffusion,Linear,-20.0,0.2067,-0.7273
fertility_state_diversity,nonlinear_oscillator,graph_diffusion,Ridge,-20.0,0.2067,-0.7267
fertility_state_diversity,nonlinear_oscillator,graph_diffusion,RF,-20.0,0.2747,-0.5249
fertility_state_diversity,nonlinear_oscillator,graph_diffusion,GB,-20.0,0.2894,-0.5442
fertility_state_diversity,nonlinear_oscillator,nonlinear_oscillator,Linear,0.4301,0.0705,0.6107
fertility_state_diversity,nonlinear_oscillator,nonlinear_oscillator,Ridge,0.4301,0.0705,0.6109
fertility_state_diversity,nonlinear_oscillator,nonlinear_oscillator,RF,0.9075,0.0273,0.9509
fertility_state_diversity,nonlinear_oscillator,nonlinear_oscillator,GB,0.8282,0.0411,0.8348
fertility_state_diversity,nonlinear_oscillator,population,Linear,0.4109,0.1001,0.5526
fertility_state_diversity,nonlinear_oscillator,population,Ridge,0.4097,0.1001,0.5532
fertility_state_diversity,nonlinear_oscillator,population,RF,0.4356,0.1005,0.5486
fertility_state_diversity,nonlinear_oscillator,population,GB,0.4015,0.1011,0.5739
fertility_state_diversity,population,cellular_automata,Linear,0.0995,0.2538,0.6451
fertility_state_diversity,population,cellular_automata,Ridge,0.1431,0.2462,0.6724
fertility_state_diversity,population,cellular_automata,RF,-0.1388,0.2628,0.1004
fertility_state_diversity,population,cellular_automata,GB,-0.2391,0.2702,0.0764
fertility_state_diversity,population,graph_diffusion,Linear,-20.0,0.2925,-0.7326
fertility_state_diversity,population,graph_diffusion,Ridge,-20.0,0.2941,-0.7303
fertility_state_diversity,population,graph_diffusion,RF,-20.0,0.2083,-0.6834
fertility_state_diversity,population,graph_diffusion,GB,-20.0,0.1988,-0.6672
fertility_state_diversity,population,nonlinear_oscillator,Linear,-1.3425,0.1221,0.1445
fertility_state_diversity,population,nonlinear_oscillator,Ridge,-1.1026,0.1198,0.1613
fertility_state_diversity,population,nonlinear_oscillator,RF,0.2301,0.0796,0.4253
fertility_state_diversity,population,nonlinear_oscillator,GB,0.1826,0.0821,0.4168
fertility_state_diversity,population,population,Linear,0.9082,0.0508,0.5851
fertility_state_diversity,population,population,Ridge,0.9079,0.051,0.5804
fertility_state_diversity,population,population,RF,0.9946,0.0107,0.9851
fertility_state_diversity,population,population,GB,0.9909,0.0158,0.9639
fertility_novelty_rate,cellular_automata,cellular_automata,Linear,0.5972,0.166,0.9007
fertility_novelty_rate,cellular_automata,cellular_automata,Ridge,0.5972,0.1659,0.9005
fertility_novelty_rate,cellular_automata,cellular_automata,RF,0.9537,0.0432,0.9877
fertility_novelty_rate,cellular_automata,cellular_automata,GB,0.9127,0.0617,0.9599
fertility_novelty_rate,cellular_automata,graph_diffusion,Linear,-20.0,0.3772,-0.6105
fertility_novelty_rate,cellular_automata,graph_diffusion,Ridge,-20.0,0.3767,-0.6113
fertility_novelty_rate,cellular_automata,graph_diffusion,RF,-20.0,0.1919,-0.2789
fertility_novelty_rate,cellular_automata,graph_diffusion,GB,-20.0,0.2529,-0.4456
fertility_novelty_rate,cellular_automata,nonlinear_oscillator,Linear,0.0,0.6762,
fertility_novelty_rate,cellular_automata,nonlinear_oscillator,Ridge,0.0,0.6762,
fertility_novelty_rate,cellular_automata,nonlinear_oscillator,RF,0.0,0.7295,
