depth,sector,condition,rg_similarity,circulation_stability,flow_persistence,bottleneck_resilience,source_sink_balance,recursive_transport_coherence,circulation_hierarchy_index,classification
192,Projection,TopologicalFlowMapping,0.1278,0.1236,0.1224,0.12,0.1163,0.1138,0.1195,FLOW-FAILED
1,Projection,CirculationLoopDetection,0.96,0.9258,0.914,0.9087,0.9009,0.8817,0.92,FLOW-STABLE
2,Projection,CirculationLoopDetection,0.96,0.9067,0.894,0.8773,0.8804,0.8845,0.8671,FLOW-STABLE
4,Projection,CirculationLoopDetection,0.8982,0.8487,0.8411,0.8282,0.8138,0.8174,0.8336,FLOW-STABLE
6,Projection,CirculationLoopDetection,0.85,0.8127,0.7933,0.7838,0.7481,0.7785,0.7761,FLOW-STABLE
8,Projection,CirculationLoopDetection,0.7895,0.7754,0.7448,0.7497,0.7108,0.7218,0.7195,FLOW-BOUNDED
12,Projection,CirculationLoopDetection,0.7111,0.6875,0.6677,0.6505,0.6392,0.6415,0.67,FLOW-BOUNDED
16,Projection,CirculationLoopDetection,0.656,0.6258,0.5982,0.5986,0.5995,0.5901,0.5918,FLOW-PARTIAL
20,Projection,CirculationLoopDetection,0.6005,0.5695,0.5514,0.5498,0.5394,0.5282,0.558,FLOW-PARTIAL
24,Projection,CirculationLoopDetection,0.5487,0.5255,0.5107,0.5026,0.4918,0.4861,0.4979,FLOW-DEGRADING
32,Projection,CirculationLoopDetection,0.4662,0.4455,0.4526,0.4483,0.4236,0.4305,0.4447,FLOW-DEGRADING
40,Projection,CirculationLoopDetection,0.4227,0.4068,0.3981,0.3822,0.3748,0.3715,0.3812,FLOW-DEGRADING
48,Projection,CirculationLoopDetection,0.3674,0.3627,0.3557,0.3473,0.3378,0.337,0.3422,FLOW-FAILED
64,Projection,CirculationLoopDetection,0.3022,0.2891,0.2827,0.2806,0.2742,0.2748,0.2893,FLOW-FAILED
80,Projection,CirculationLoopDetection,0.2627,0.2522,0.242,0.2417,0.2354,0.2328,0.2476,FLOW-FAILED
96,Projection,CirculationLoopDetection,0.2313,0.2201,0.2152,0.2077,0.2097,0.2076,0.2081,FLOW-FAILED
128,Projection,CirculationLoopDetection,0.1814,0.1706,0.1675,0.1715,0.1627,0.1673,0.17,FLOW-FAILED
160,Projection,CirculationLoopDetection,0.1479,0.1433,0.1383,0.1399,0.1358,0.1337,0.1423,FLOW-FAILED
192,Projection,CirculationLoopDetection,0.1265,0.1244,0.1198,0.117,0.1181,0.1164,0.1201,FLOW-FAILED
1,Projection,FlowBottleneckAnalysis,0.96,0.9099,0.8967,0.9163,0.8923,0.8871,0.9026,FLOW-STABLE
2,Projection,FlowBottleneckAnalysis,0.9212,0.8914,0.9025,0.8785,0.8713,0.8498,0.8652,FLOW-STABLE
4,Projection,FlowBottleneckAnalysis,0.8684,0.8411,0.8393,0.844,0.8196,0.8099,0.8285,FLOW-STABLE
6,Projection,FlowBottleneckAnalysis,0.813,0.776,0.7678,0.8027,0.7617,0.7688,0.7661,FLOW-STABLE
8,Projection,FlowBottleneckAnalysis,0.7809,0.7411,0.7465,0.7572,0.7063,0.7001,0.7307,FLOW-BOUNDED
12,Projection,FlowBottleneckAnalysis,0.7108,0.6646,0.6579,0.6612,0.6433,0.6371,0.6571,FLOW-BOUNDED
16,Projection,FlowBottleneckAnalysis,0.6448,0.6178,0.6027,0.6104,0.5808,0.5848,0.5926,FLOW-PARTIAL
20,Projection,FlowBottleneckAnalysis,0.5814,0.5443,0.5573,0.5643,0.5275,0.5286,0.5351,FLOW-DEGRADING
24,Projection,FlowBottleneckAnalysis,0.5351,0.5025,0.5012,0.5038,0.4863,0.5004,0.5042,FLOW-DEGRADING
32,Projection,FlowBottleneckAnalysis,0.4541,0.4474,0.4315,0.4531,0.4219,0.4271,0.4318,FLOW-DEGRADING
40,Projection,FlowBottleneckAnalysis,0.4121,0.391,0.3801,0.3935,0.3848,0.3755,0.3835,FLOW-FAILED
48,Projection,FlowBottleneckAnalysis,0.3679,0.3545,0.3443,0.3494,0.3376,0.3353,0.335,FLOW-FAILED
64,Projection,FlowBottleneckAnalysis,0.3032,0.2926,0.2863,0.2828,0.2774,0.2796,0.2877,FLOW-FAILED
80,Projection,FlowBottleneckAnalysis,0.2538,0.2506,0.2482,0.2476,0.2332,0.2375,0.2356,FLOW-FAILED
96,Projection,FlowBottleneckAnalysis,0.2197,0.2168,0.2125,0.213,0.2056,0.2035,0.2098,FLOW-FAILED
128,Projection,FlowBottleneckAnalysis,0.1773,0.1702,0.168,0.1732,0.1625,0.1603,0.1669,FLOW-FAILED
160,Projection,FlowBottleneckAnalysis,0.1495,0.1418,0.1375,0.1385,0.1378,0.1374,0.1376,FLOW-FAILED
192,Projection,FlowBottleneckAnalysis,0.1248,0.1183,0.1175,0.1226,0.1169,0.1158,0.1186,FLOW-FAILED
1,Projection,AttractorSourceSinkCharacterization,0.96,0.9263,0.9283,0.9138,0.91,0.8688,0.9101,FLOW-STABLE
2,Projection,AttractorSourceSinkCharacterization,0.9532,0.89,0.8755,0.8765,0.8825,0.8666,0.9036,FLOW-STABLE
4,Projection,AttractorSourceSinkCharacterization,0.8833,0.8213,0.8238,0.8351,0.8344,0.8095,0.8441,FLOW-STABLE
6,Projection,AttractorSourceSinkCharacterization,0.8426,0.7838,0.7937,0.7544,0.7944,0.7574,0.7662,FLOW-STABLE
8,Projection,AttractorSourceSinkCharacterization,0.7831,0.7453,0.7476,0.737,0.7418,0.7236,0.7372,FLOW-BOUNDED
12,Projection,AttractorSourceSinkCharacterization,0.6936,0.6799,0.6591,0.6633,0.6643,0.6522,0.6574,FLOW-BOUNDED
16,Projection,AttractorSourceSinkCharacterization,0.6252,0.6035,0.5973,0.5827,0.605,0.5883,0.6014,FLOW-PARTIAL
20,Projection,AttractorSourceSinkCharacterization,0.585,0.5653,0.5566,0.5331,0.5461,0.5378,0.5575,FLOW-PARTIAL
24,Projection,AttractorSourceSinkCharacterization,0.5344,0.507,0.4989,0.494,0.5006,0.4958,0.5147,FLOW-DEGRADING
32,Projection,AttractorSourceSinkCharacterization,0.4575,0.4466,0.4461,0.4373,0.439,0.4343,0.4439,FLOW-DEGRADING
40,Projection,AttractorSourceSinkCharacterization,0.4039,0.386,0.3936,0.3775,0.3886,0.3691,0.3871,FLOW-FAILED
48,Projection,AttractorSourceSinkCharacterization,0.3621,0.3481,0.3418,0.3364,0.3399,0.3417,0.3476,FLOW-FAILED
64,Projection,AttractorSourceSinkCharacterization,0.298,0.283,0.281,0.2798,0.2919,0.2779,0.2878,FLOW-FAILED
80,Projection,AttractorSourceSinkCharacterization,0.2612,0.2461,0.2447,0.2379,0.2445,0.2369,0.2474,FLOW-FAILED
96,Projection,AttractorSourceSinkCharacterization,0.222,0.2103,0.2117,0.2138,0.2158,0.2052,0.2147,FLOW-FAILED
128,Projection,AttractorSourceSinkCharacterization,0.1795,0.1701,0.1693,0.166,0.1651,0.1649,0.1663,FLOW-FAILED
160,Projection,AttractorSourceSinkCharacterization,0.1452,0.1408,0.1421,0.1403,0.1392,0.1366,0.1387,FLOW-FAILED
192,Projection,AttractorSourceSinkCharacterization,0.1265,0.1222,0.1217,0.1186,0.1213,0.1156,0.1187,FLOW-FAILED
1,Projection,RecursiveTransportStability,0.9506,0.9194,0.9292,0.8916,0.91,0.8936,0.9177,FLOW-STABLE
2,Projection,RecursiveTransportStability,0.9315,0.8789,0.8764,0.8801,0.8724,0.8878,0.8873,FLOW-STABLE
4,Projection,RecursiveTransportStability,0.8772,0.8234,0.8507,0.8272,0.7977,0.8261,0.8292,FLOW-STABLE
6,Projection,RecursiveTransportStability,0.8134,0.7882,0.7785,0.7792,0.7655,0.754,0.7647,FLOW-STABLE
8,Projection,RecursiveTransportStability,0.7864,0.7508,0.745,0.7196,0.7292,0.7431,0.7327,FLOW-BOUNDED
12,Projection,RecursiveTransportStability,0.6889,0.6546,0.6664,0.6455,0.6487,0.6671,0.6614,FLOW-BOUNDED
16,Projection,RecursiveTransportStability,0.6352,0.6198,0.5993,0.5942,0.5954,0.604,0.593,FLOW-PARTIAL
20,Projection,RecursiveTransportStability,0.5845,0.5584,0.55,0.5478,0.5421,0.5399,0.538,FLOW-DEGRADING
24,Projection,RecursiveTransportStability,0.524,0.5048,0.5158,0.5005,0.4967,0.5041,0.5068,FLOW-DEGRADING
32,Projection,RecursiveTransportStability,0.4577,0.4456,0.4529,0.4303,0.4263,0.4417,0.439,FLOW-DEGRADING
40,Projection,RecursiveTransportStability,0.4013,0.3874,0.3969,0.3885,0.3813,0.3878,0.3891,FLOW-FAILED
48,Projection,RecursiveTransportStability,0.363,0.3497,0.3456,0.3406,0.3381,0.3354,0.3352,FLOW-FAILED
64,Projection,RecursiveTransportStability,0.3,0.2864,0.2921,0.2833,0.2762,0.2878,0.2826,FLOW-FAILED
80,Projection,RecursiveTransportStability,0.2583,0.2504,0.2439,0.2412,0.238,0.2354,0.2437,FLOW-FAILED
96,Projection,RecursiveTransportStability,0.2265,0.2122,0.2182,0.2092,0.2105,0.2132,0.2068,FLOW-FAILED
128,Projection,RecursiveTransportStability,0.1734,0.167,0.167,0.1656,0.163,0.1697,0.1667,FLOW-FAILED
160,Projection,RecursiveTransportStability,0.1481,0.1405,0.1415,0.1401,0.1357,0.1369,0.1399,FLOW-FAILED
192,Projection,RecursiveTransportStability,0.1259,0.1224,0.122,0.1161,0.1186,0.1196,0.1202,FLOW-FAILED
1,Projection,PerturbationFlowRecovery,0.96,0.9317,0.9125,0.92,0.8871,0.8799,0.9151,FLOW-STABLE
2,Projection,PerturbationFlowRecovery,0.9125,0.8772,0.9033,0.8704,0.8488,0.8498,0.856,FLOW-STABLE
4,Projection,PerturbationFlowRecovery,0.866,0.8165,0.8361,0.8092,0.7998,0.7932,0.8134,FLOW-STABLE
6,Projection,PerturbationFlowRecovery,0.8165,0.7714,0.7895,0.7597,0.7622,0.7385,0.7566,FLOW-STABLE
8,Projection,PerturbationFlowRecovery,0.7717,0.7312,0.7342,0.7356,0.7198,0.7269,0.7065,FLOW-BOUNDED
12,Projection,PerturbationFlowRecovery,0.698,0.6726,0.6548,0.6556,0.6364,0.6433,0.6481,FLOW-BOUNDED
16,Projection,PerturbationFlowRecovery,0.6273,0.6045,0.5936,0.5963,0.5905,0.587,0.5952,FLOW-PARTIAL
20,Projection,PerturbationFlowRecovery,0.5803,0.5504,0.556,0.5557,0.52,0.5432,0.5298,FLOW-PARTIAL
24,Projection,PerturbationFlowRecovery,0.5204,0.5095,0.5118,0.5,0.4887,0.4911,0.5022,FLOW-DEGRADING
32,Projection,PerturbationFlowRecovery,0.4492,0.4466,0.4342,0.4407,0.4298,0.4273,0.4263,FLOW-DEGRADING
40,Projection,PerturbationFlowRecovery,0.4073,0.3798,0.3841,0.381,0.3754,0.3682,0.3828,FLOW-FAILED
48,Projection,PerturbationFlowRecovery,0.3618,0.3525,0.3464,0.3427,0.3287,0.335,0.3385,FLOW-FAILED
64,Projection,PerturbationFlowRecovery,0.2941,0.2807,0.2899,0.277,0.2712,0.2774,0.2847,FLOW-FAILED
80,Projection,PerturbationFlowRecovery,0.2572,0.2458,0.2422,0.245,0.2314,0.2349,0.2397,FLOW-FAILED
96,Projection,PerturbationFlowRecovery,0.22,0.2158,0.2112,0.2092,0.2042,0.2066,0.2097,FLOW-FAILED
128,Projection,PerturbationFlowRecovery,0.1748,0.1706,0.1665,0.1666,0.1636,0.1613,0.1654,FLOW-FAILED
160,Projection,PerturbationFlowRecovery,0.1464,0.1386,0.1411,0.1382,0.136,0.1339,0.1346,FLOW-FAILED
192,Projection,PerturbationFlowRecovery,0.1255,0.1169,0.118,0.119,0.1133,0.1164,0.1145,FLOW-FAILED
1,Projection,NullCirculationControl,0.756,0.7519,0.7507,0.7517,0.7071,0.7141,0.7396,FLOW-STABLE
2,Projection,NullCirculationControl,0.7622,0.7233,0.7292,0.7426,0.6943,0.6864,0.6943,FLOW-BOUNDED
4,Projection,NullCirculationControl,0.7158,0.6756,0.6884,0.6764,0.6716,0.6633,0.6619,FLOW-BOUNDED
6,Projection,NullCirculationControl,0.6594,0.638,0.6511,0.641,0.62,0.6082,0.6277,FLOW-PARTIAL
8,Projection,NullCirculationControl,0.6095,0.6045,0.5997,0.6051,0.5673,0.5619,0.5854,FLOW-PARTIAL
12,Projection,NullCirculationControl,0.5469,0.5581,0.5476,0.534,0.5197,0.5276,0.5345,FLOW-DEGRADING
16,Projection,NullCirculationControl,0.508,0.4958,0.4815,0.4969,0.48,0.4651,0.4861,FLOW-DEGRADING
20,Projection,NullCirculationControl,0.4597,0.4565,0.451,0.456,0.4395,0.4228,0.4415,FLOW-DEGRADING
24,Projection,NullCirculationControl,0.4236,0.4078,0.4067,0.4138,0.3964,0.3868,0.4074,FLOW-DEGRADING
32,Projection,NullCirculationControl,0.3754,0.3652,0.3516,0.3573,0.354,0.3421,0.3464,FLOW-FAILED
40,Projection,NullCirculationControl,0.3273,0.3215,0.3124,0.3161,0.3045,0.3017,0.3132,FLOW-FAILED
48,Projection,NullCirculationControl,0.2886,0.2809,0.2745,0.2854,0.2735,0.2781,0.2758,FLOW-FAILED
64,Projection,NullCirculationControl,0.236,0.2363,0.2277,0.2374,0.2214,0.2248,0.228,FLOW-FAILED
80,Projection,NullCirculationControl,0.2012,0.1997,0.1946,0.1961,0.1887,0.1876,0.2003,FLOW-FAILED
96,Projection,NullCirculationControl,0.1768,0.1719,0.1713,0.1777,0.1702,0.1626,0.1701,FLOW-FAILED
128,Projection,NullCirculationControl,0.1405,0.1373,0.1398,0.1384,0.1312,0.1289,0.135,FLOW-FAILED
160,Projection,NullCirculationControl,0.1172,0.1124,0.1119,0.1181,0.1122,0.1118,0.1134,FLOW-FAILED
192,Projection,NullCirculationControl,0.1026,0.0963,0.0945,0.0985,0.0965,0.091,0.0933,FLOW-FAILED
1,Antisymmetry,TopologicalFlowMapping,0.9593,0.8922,0.8771,0.8683,0.8837,0.857,0.8679,FLOW-STABLE
2,Antisymmetry,TopologicalFlowMapping,0.9297,0.8902,0.8564,0.8353,0.8278,0.8454,0.8357,FLOW-STABLE
4,Antisymmetry,TopologicalFlowMapping,0.8546,0.8341,0.8091,0.7972,0.8007,0.7897,0.8089,FLOW-STABLE
6,Antisymmetry,TopologicalFlowMapping,0.8133,0.7563,0.774,0.7545,0.7326,0.7431,0.7454,FLOW-STABLE
8,Antisymmetry,TopologicalFlowMapping,0.7692,0.7397,0.7332,0.6902,0.696,0.6794,0.7033,FLOW-BOUNDED
12,Antisymmetry,TopologicalFlowMapping,0.6879,0.6506,0.6417,0.6356,0.6339,0.6078,0.6272,FLOW-PARTIAL
16,Antisymmetry,TopologicalFlowMapping,0.6287,0.5906,0.5997,0.5818,0.5744,0.5685,0.5802,FLOW-PARTIAL
20,Antisymmetry,TopologicalFlowMapping,0.5778,0.5386,0.5275,0.5337,0.5206,0.5152,0.5229,FLOW-DEGRADING
24,Antisymmetry,TopologicalFlowMapping,0.5221,0.5044,0.5049,0.4752,0.4716,0.4737,0.4913,FLOW-DEGRADING
32,Antisymmetry,TopologicalFlowMapping,0.4619,0.4326,0.4383,0.4242,0.4077,0.4125,0.4144,FLOW-DEGRADING
40,Antisymmetry,TopologicalFlowMapping,0.402,0.3908,0.3714,0.3784,0.3653,0.3677,0.3646,FLOW-FAILED
48,Antisymmetry,TopologicalFlowMapping,0.3516,0.3472,0.3384,0.3342,0.3278,0.3246,0.3244,FLOW-FAILED
64,Antisymmetry,TopologicalFlowMapping,0.289,0.2886,0.284,0.2749,0.2648,0.2638,0.2749,FLOW-FAILED
80,Antisymmetry,TopologicalFlowMapping,0.2481,0.2363,0.236,0.2286,0.2283,0.2263,0.2366,FLOW-FAILED
96,Antisymmetry,TopologicalFlowMapping,0.2157,0.2116,0.2049,0.202,0.1973,0.1975,0.2022,FLOW-FAILED
128,Antisymmetry,TopologicalFlowMapping,0.1716,0.1643,0.1629,0.1572,0.1558,0.154,0.164,FLOW-FAILED
160,Antisymmetry,TopologicalFlowMapping,0.1425,0.1397,0.138,0.1344,0.1338,0.1312,0.1323,FLOW-FAILED
192,Antisymmetry,TopologicalFlowMapping,0.1234,0.1199,0.1176,0.1148,0.1138,0.1107,0.1157,FLOW-FAILED
1,Antisymmetry,CirculationLoopDetection,0.96,0.914,0.9097,0.8693,0.8592,0.8748,0.8892,FLOW-STABLE
2,Antisymmetry,CirculationLoopDetection,0.9074,0.8782,0.851,0.8502,0.8499,0.8548,0.854,FLOW-STABLE
4,Antisymmetry,CirculationLoopDetection,0.873,0.8133,0.8089,0.8013,0.7675,0.7742,0.7943,FLOW-STABLE
6,Antisymmetry,CirculationLoopDetection,0.7926,0.7786,0.7501,0.7503,0.7431,0.7367,0.74,FLOW-STABLE
8,Antisymmetry,CirculationLoopDetection,0.7661,0.7364,0.7075,0.6978,0.6954,0.6974,0.7146,FLOW-BOUNDED
12,Antisymmetry,CirculationLoopDetection,0.6882,0.6587,0.6547,0.6534,0.6254,0.62,0.6508,FLOW-BOUNDED
16,Antisymmetry,CirculationLoopDetection,0.6359,0.6006,0.5986,0.5858,0.5563,0.5704,0.5756,FLOW-PARTIAL
20,Antisymmetry,CirculationLoopDetection,0.5613,0.5534,0.5436,0.5261,0.5256,0.521,0.5298,FLOW-DEGRADING
24,Antisymmetry,CirculationLoopDetection,0.5373,0.5143,0.5041,0.4957,0.4716,0.4797,0.4884,FLOW-DEGRADING
32,Antisymmetry,CirculationLoopDetection,0.4506,0.4474,0.4363,0.4304,0.4142,0.4237,0.4193,FLOW-DEGRADING
40,Antisymmetry,CirculationLoopDetection,0.3952,0.3883,0.3738,0.3767,0.3673,0.371,0.3702,FLOW-FAILED
48,Antisymmetry,CirculationLoopDetection,0.3621,0.3469,0.3424,0.3332,0.3304,0.3218,0.3406,FLOW-FAILED
64,Antisymmetry,CirculationLoopDetection,0.2924,0.2895,0.2832,0.2717,0.2662,0.2703,0.2742,FLOW-FAILED
80,Antisymmetry,CirculationLoopDetection,0.2575,0.2404,0.2394,0.2303,0.2285,0.2252,0.2361,FLOW-FAILED
96,Antisymmetry,CirculationLoopDetection,0.2228,0.2112,0.2059,0.2021,0.1993,0.1996,0.2062,FLOW-FAILED
128,Antisymmetry,CirculationLoopDetection,0.1765,0.17,0.161,0.162,0.1584,0.1578,0.1661,FLOW-FAILED
160,Antisymmetry,CirculationLoopDetection,0.146,0.1403,0.138,0.1328,0.1328,0.1309,0.1379,FLOW-FAILED
192,Antisymmetry,CirculationLoopDetection,0.1218,0.1188,0.1187,0.1166,0.1107,0.1109,0.117,FLOW-FAILED
1,Antisymmetry,FlowBottleneckAnalysis,0.9249,0.8798,0.88,0.9012,0.8632,0.8372,0.8891,FLOW-STABLE
2,Antisymmetry,FlowBottleneckAnalysis,0.8959,0.8654,0.8657,0.8619,0.841,0.8075,0.8388,FLOW-STABLE
4,Antisymmetry,FlowBottleneckAnalysis,0.8493,0.8146,0.8122,0.8195,0.7799,0.771,0.7851,FLOW-STABLE
6,Antisymmetry,FlowBottleneckAnalysis,0.7865,0.7573,0.7578,0.7693,0.7417,0.7298,0.7359,FLOW-STABLE
8,Antisymmetry,FlowBottleneckAnalysis,0.7518,0.7289,0.6977,0.7301,0.7014,0.6771,0.7034,FLOW-BOUNDED
12,Antisymmetry,FlowBottleneckAnalysis,0.6631,0.6513,0.6257,0.6344,0.6245,0.6041,0.6377,FLOW-PARTIAL
16,Antisymmetry,FlowBottleneckAnalysis,0.6034,0.5887,0.5805,0.5834,0.5577,0.5583,0.5778,FLOW-PARTIAL
20,Antisymmetry,FlowBottleneckAnalysis,0.5595,0.5338,0.5228,0.529,0.5167,0.5168,0.5288,FLOW-DEGRADING
24,Antisymmetry,FlowBottleneckAnalysis,0.5244,0.4953,0.4822,0.4985,0.4757,0.4842,0.4873,FLOW-DEGRADING
32,Antisymmetry,FlowBottleneckAnalysis,0.4447,0.4361,0.424,0.4345,0.4086,0.4009,0.4266,FLOW-DEGRADING
40,Antisymmetry,FlowBottleneckAnalysis,0.3897,0.3836,0.3711,0.385,0.3662,0.3549,0.3647,FLOW-FAILED
48,Antisymmetry,FlowBottleneckAnalysis,0.3505,0.34,0.3352,0.3405,0.3198,0.3181,0.3382,FLOW-FAILED
64,Antisymmetry,FlowBottleneckAnalysis,0.2863,0.2781,0.2796,0.2803,0.268,0.263,0.2674,FLOW-FAILED
80,Antisymmetry,FlowBottleneckAnalysis,0.2477,0.2407,0.2378,0.2327,0.2272,0.23,0.2356,FLOW-FAILED
96,Antisymmetry,FlowBottleneckAnalysis,0.2126,0.2041,0.2052,0.2034,0.2027,0.1968,0.1984,FLOW-FAILED
128,Antisymmetry,FlowBottleneckAnalysis,0.1684,0.1644,0.1615,0.1665,0.1576,0.1575,0.1583,FLOW-FAILED
160,Antisymmetry,FlowBottleneckAnalysis,0.1423,0.1337,0.1336,0.1368,0.1317,0.129,0.1317,FLOW-FAILED
192,Antisymmetry,FlowBottleneckAnalysis,0.1209,0.1188,0.115,0.1181,0.1129,0.1112,0.1158,FLOW-FAILED
1,Antisymmetry,AttractorSourceSinkCharacterization,0.9542,0.8759,0.8842,0.8827,0.8748,0.8513,0.8731,FLOW-STABLE
2,Antisymmetry,AttractorSourceSinkCharacterization,0.8957,0.8706,0.8428,0.8297,0.8535,0.8244,0.8566,FLOW-STABLE
4,Antisymmetry,AttractorSourceSinkCharacterization,0.8366,0.8031,0.7899,0.8083,0.7992,0.7742,0.8163,FLOW-STABLE
6,Antisymmetry,AttractorSourceSinkCharacterization,0.7854,0.7618,0.7489,0.7333,0.737,0.7442,0.7503,FLOW-BOUNDED
8,Antisymmetry,AttractorSourceSinkCharacterization,0.7702,0.7354,0.7049,0.7144,0.6977,0.6813,0.6985,FLOW-BOUNDED
12,Antisymmetry,AttractorSourceSinkCharacterization,0.6854,0.6455,0.6284,0.6188,0.637,0.6259,0.6534,FLOW-PARTIAL
16,Antisymmetry,AttractorSourceSinkCharacterization,0.6153,0.5769,0.5894,0.5668,0.5712,0.5679,0.5885,FLOW-PARTIAL
20,Antisymmetry,AttractorSourceSinkCharacterization,0.5768,0.5325,0.5391,0.5184,0.5241,0.5142,0.5307,FLOW-DEGRADING
24,Antisymmetry,AttractorSourceSinkCharacterization,0.5297,0.4869,0.4909,0.4802,0.5004,0.4828,0.4835,FLOW-DEGRADING
32,Antisymmetry,AttractorSourceSinkCharacterization,0.4452,0.433,0.4226,0.4105,0.4189,0.4098,0.4305,FLOW-DEGRADING
40,Antisymmetry,AttractorSourceSinkCharacterization,0.3968,0.3816,0.3721,0.3663,0.3734,0.3537,0.378,FLOW-FAILED
48,Antisymmetry,AttractorSourceSinkCharacterization,0.3618,0.3329,0.3358,0.3247,0.3359,0.323,0.3373,FLOW-FAILED
64,Antisymmetry,AttractorSourceSinkCharacterization,0.2958,0.2809,0.2752,0.2717,0.271,0.2697,0.2797,FLOW-FAILED
80,Antisymmetry,AttractorSourceSinkCharacterization,0.2531,0.24,0.24,0.2282,0.2339,0.2271,0.2383,FLOW-FAILED
96,Antisymmetry,AttractorSourceSinkCharacterization,0.2192,0.2112,0.2035,0.2031,0.2084,0.1949,0.207,FLOW-FAILED
128,Antisymmetry,AttractorSourceSinkCharacterization,0.1696,0.1614,0.1657,0.1593,0.1621,0.1579,0.1618,FLOW-FAILED
160,Antisymmetry,AttractorSourceSinkCharacterization,0.1418,0.1359,0.1327,0.1327,0.1337,0.1323,0.133,FLOW-FAILED
192,Antisymmetry,AttractorSourceSinkCharacterization,0.1248,0.1167,0.1163,0.115,0.1167,0.1128,0.1157,FLOW-FAILED
1,Antisymmetry,RecursiveTransportStability,0.9168,0.8951,0.9149,0.8602,0.8671,0.8757,0.8672,FLOW-STABLE
2,Antisymmetry,RecursiveTransportStability,0.9151,0.8814,0.8581,0.8487,0.8528,0.8454,0.8377,FLOW-STABLE
4,Antisymmetry,RecursiveTransportStability,0.8529,0.8197,0.801,0.7994,0.7853,0.8091,0.8017,FLOW-STABLE
6,Antisymmetry,RecursiveTransportStability,0.802,0.7639,0.7553,0.7357,0.7318,0.7608,0.7405,FLOW-STABLE
8,Antisymmetry,RecursiveTransportStability,0.7548,0.7187,0.7282,0.6989,0.7081,0.716,0.6874,FLOW-BOUNDED
12,Antisymmetry,RecursiveTransportStability,0.6709,0.6591,0.6505,0.6186,0.6232,0.6323,0.6211,FLOW-BOUNDED
16,Antisymmetry,RecursiveTransportStability,0.6218,0.5899,0.5849,0.5789,0.5595,0.5616,0.5828,FLOW-PARTIAL
20,Antisymmetry,RecursiveTransportStability,0.5632,0.5346,0.5411,0.5341,0.5086,0.5154,0.5159,FLOW-DEGRADING
24,Antisymmetry,RecursiveTransportStability,0.5117,0.4891,0.4976,0.4847,0.4789,0.4912,0.4779,FLOW-DEGRADING
32,Antisymmetry,RecursiveTransportStability,0.4558,0.4351,0.4292,0.4173,0.4124,0.4193,0.4232,FLOW-DEGRADING
40,Antisymmetry,RecursiveTransportStability,0.3898,0.3813,0.3803,0.3774,0.369,0.3757,0.3637,FLOW-FAILED
48,Antisymmetry,RecursiveTransportStability,0.3595,0.3318,0.3359,0.3343,0.3263,0.3258,0.3292,FLOW-FAILED
64,Antisymmetry,RecursiveTransportStability,0.292,0.2798,0.2833,0.2773,0.2656,0.2769,0.2734,FLOW-FAILED
80,Antisymmetry,RecursiveTransportStability,0.2471,0.2418,0.2389,0.2331,0.2287,0.2334,0.2337,FLOW-FAILED
