depth,sector,reinforcement_amplification,cooperative_enhancement,resonance_spread,coordinated_persistence_gain,recursive_reinforcement_retention,rg_similarity,classification
20,Projection-Neutral,0.6385,0.6253,0.2479,0.0,0.6319,0.693,COLLAPSING
1,Antisymmetry-Neutral,0.811,0.787,0.21,0.0854,0.799,0.8963,WEAKLY_RESONANT
2,Antisymmetry-Neutral,0.8182,0.7798,0.2412,0.0736,0.799,0.8654,WEAKLY_RESONANT
4,Antisymmetry-Neutral,0.7836,0.7758,0.2265,0.0886,0.7797,0.8222,WEAKLY_RESONANT
6,Antisymmetry-Neutral,0.7508,0.7278,0.2367,0.0774,0.7393,0.8213,WEAKLY_RESONANT
8,Antisymmetry-Neutral,0.7343,0.7404,0.2489,0.075,0.7374,0.7894,WEAKLY_RESONANT
12,Antisymmetry-Neutral,0.6941,0.7013,0.2588,0.0835,0.6977,0.7895,AMPLIFICATION-DEGRADING
16,Antisymmetry-Neutral,0.6496,0.6582,0.2463,0.0,0.6539,0.7771,COLLAPSING
20,Antisymmetry-Neutral,0.6186,0.6366,0.2669,0.0,0.6276,0.709,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8313,0.8185,0.226,0.09,0.8249,0.889,WEAKLY_RESONANT
2,Projection-Antisymmetry-Neutral,0.8002,0.8025,0.2324,0.0792,0.8014,0.8792,WEAKLY_RESONANT
4,Projection-Antisymmetry-Neutral,0.7794,0.772,0.2359,0.0787,0.7757,0.8274,WEAKLY_RESONANT
6,Projection-Antisymmetry-Neutral,0.7606,0.7523,0.2145,0.0746,0.7565,0.8042,WEAKLY_RESONANT
8,Projection-Antisymmetry-Neutral,0.7488,0.7177,0.2221,0.087,0.7332,0.8332,WEAKLY_RESONANT
12,Projection-Antisymmetry-Neutral,0.6982,0.6775,0.2592,0.0858,0.6878,0.803,AMPLIFICATION-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6513,0.6669,0.2669,0.0,0.6591,0.7239,AMPLIFICATION-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6314,0.6107,0.2661,0.0,0.6211,0.7013,COLLAPSING
