depth,sector,condition,rg_similarity,field_coherence,distributed_influence_index,stabilization_gradient_strength,recursive_field_persistence,transport_field_alignment,attractor_field_coupling,classification
1024,Projection,DistributedInfluenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,StabilizationGradientAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,StabilizationGradientAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
4,Projection,StabilizationGradientAnalysis,0.96,0.9261,0.9217,0.92,0.91,0.9,0.9123,FIELD-STABLE
6,Projection,StabilizationGradientAnalysis,0.9533,0.8995,0.871,0.8894,0.8781,0.85,0.8738,FIELD-STABLE
8,Projection,StabilizationGradientAnalysis,0.9046,0.861,0.8722,0.8521,0.8493,0.824,0.8443,FIELD-STABLE
12,Projection,StabilizationGradientAnalysis,0.829,0.8238,0.8152,0.7975,0.7869,0.7708,0.8038,FIELD-BOUNDED
16,Projection,StabilizationGradientAnalysis,0.7839,0.7719,0.7598,0.7375,0.7332,0.7229,0.7365,FIELD-BOUNDED
20,Projection,StabilizationGradientAnalysis,0.7472,0.7201,0.6974,0.7133,0.6955,0.687,0.6962,FIELD-PARTIAL
24,Projection,StabilizationGradientAnalysis,0.7019,0.6749,0.6709,0.6759,0.6647,0.6513,0.6645,FIELD-PARTIAL
32,Projection,StabilizationGradientAnalysis,0.6416,0.6035,0.6142,0.5968,0.5909,0.5787,0.6069,FIELD-DEGRADING
40,Projection,StabilizationGradientAnalysis,0.5683,0.5647,0.5536,0.5547,0.535,0.5209,0.5515,FIELD-DEGRADING
48,Projection,StabilizationGradientAnalysis,0.5361,0.5171,0.5072,0.5009,0.4834,0.4899,0.4949,FIELD-DEGRADING
64,Projection,StabilizationGradientAnalysis,0.4574,0.4471,0.4307,0.4338,0.4151,0.4254,0.427,FIELD-FAILED
80,Projection,StabilizationGradientAnalysis,0.4044,0.3895,0.3762,0.372,0.3665,0.3608,0.3714,FIELD-FAILED
96,Projection,StabilizationGradientAnalysis,0.35,0.3499,0.343,0.3401,0.3325,0.325,0.3361,FIELD-FAILED
128,Projection,StabilizationGradientAnalysis,0.2901,0.2859,0.2754,0.2734,0.2737,0.2626,0.2706,FIELD-FAILED
160,Projection,StabilizationGradientAnalysis,0.245,0.2415,0.2313,0.2358,0.2251,0.2257,0.2351,FIELD-FAILED
192,Projection,StabilizationGradientAnalysis,0.2161,0.2061,0.2058,0.1986,0.2011,0.1972,0.1963,FIELD-FAILED
256,Projection,StabilizationGradientAnalysis,0.1704,0.1628,0.1592,0.1596,0.1577,0.1558,0.1561,FIELD-FAILED
320,Projection,StabilizationGradientAnalysis,0.1374,0.1353,0.1331,0.132,0.1297,0.1264,0.1302,FIELD-FAILED
512,Projection,StabilizationGradientAnalysis,0.091,0.0894,0.0876,0.0857,0.0835,0.0835,0.0849,FIELD-FAILED
768,Projection,StabilizationGradientAnalysis,0.0633,0.0611,0.0605,0.0588,0.0585,0.0575,0.0596,FIELD-FAILED
1024,Projection,StabilizationGradientAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,FieldMediatedTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,FieldMediatedTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
4,Projection,FieldMediatedTransportTracking,0.96,0.9325,0.913,0.8841,0.9035,0.9,0.91,FIELD-STABLE
6,Projection,FieldMediatedTransportTracking,0.9427,0.9005,0.8795,0.8646,0.852,0.8802,0.8511,FIELD-STABLE
8,Projection,FieldMediatedTransportTracking,0.8914,0.8564,0.8518,0.8501,0.8263,0.8298,0.84,FIELD-STABLE
12,Projection,FieldMediatedTransportTracking,0.8447,0.8242,0.7885,0.7744,0.7975,0.7676,0.7824,FIELD-BOUNDED
16,Projection,FieldMediatedTransportTracking,0.7868,0.7463,0.7569,0.7467,0.7458,0.7467,0.7258,FIELD-PARTIAL
20,Projection,FieldMediatedTransportTracking,0.729,0.7165,0.7122,0.7027,0.6932,0.7031,0.6784,FIELD-PARTIAL
24,Projection,FieldMediatedTransportTracking,0.7114,0.6794,0.6614,0.6553,0.664,0.664,0.649,FIELD-PARTIAL
32,Projection,FieldMediatedTransportTracking,0.6262,0.605,0.5999,0.5893,0.5996,0.5985,0.5947,FIELD-DEGRADING
40,Projection,FieldMediatedTransportTracking,0.5759,0.5446,0.5451,0.5325,0.5384,0.5429,0.5397,FIELD-DEGRADING
48,Projection,FieldMediatedTransportTracking,0.5218,0.5055,0.504,0.4965,0.4914,0.5026,0.4932,FIELD-DEGRADING
64,Projection,FieldMediatedTransportTracking,0.4585,0.4308,0.424,0.4226,0.4306,0.4316,0.4148,FIELD-FAILED
80,Projection,FieldMediatedTransportTracking,0.3884,0.379,0.3786,0.3661,0.3712,0.3651,0.3647,FIELD-FAILED
96,Projection,FieldMediatedTransportTracking,0.3478,0.3336,0.3303,0.3309,0.3316,0.3344,0.3347,FIELD-FAILED
128,Projection,FieldMediatedTransportTracking,0.287,0.278,0.2724,0.2675,0.2672,0.2746,0.2683,FIELD-FAILED
160,Projection,FieldMediatedTransportTracking,0.2455,0.235,0.2381,0.228,0.232,0.225,0.2327,FIELD-FAILED
192,Projection,FieldMediatedTransportTracking,0.2133,0.2082,0.1992,0.1942,0.1966,0.1995,0.2023,FIELD-FAILED
256,Projection,FieldMediatedTransportTracking,0.167,0.1636,0.1601,0.1556,0.1543,0.1555,0.1563,FIELD-FAILED
320,Projection,FieldMediatedTransportTracking,0.139,0.1331,0.1319,0.1288,0.1271,0.1302,0.1292,FIELD-FAILED
512,Projection,FieldMediatedTransportTracking,0.0902,0.0882,0.0875,0.084,0.0858,0.0839,0.0851,FIELD-FAILED
768,Projection,FieldMediatedTransportTracking,0.0613,0.0607,0.0602,0.0581,0.0582,0.0591,0.0588,FIELD-FAILED
1024,Projection,FieldMediatedTransportTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,PerturbationPropagationGeometry,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,PerturbationPropagationGeometry,0.96,0.94,0.93,0.92,0.91,0.8992,0.9192,FIELD-STABLE
4,Projection,PerturbationPropagationGeometry,0.96,0.9165,0.9237,0.905,0.8841,0.879,0.8987,FIELD-STABLE
6,Projection,PerturbationPropagationGeometry,0.9215,0.8858,0.8726,0.881,0.853,0.8377,0.855,FIELD-STABLE
8,Projection,PerturbationPropagationGeometry,0.8956,0.8563,0.8506,0.8448,0.8198,0.8255,0.8482,FIELD-STABLE
12,Projection,PerturbationPropagationGeometry,0.8167,0.7905,0.7932,0.7976,0.785,0.76,0.7872,FIELD-BOUNDED
16,Projection,PerturbationPropagationGeometry,0.7679,0.7626,0.7465,0.732,0.7179,0.7222,0.7455,FIELD-PARTIAL
20,Projection,PerturbationPropagationGeometry,0.7479,0.7201,0.6881,0.7006,0.6918,0.6728,0.6875,FIELD-PARTIAL
24,Projection,PerturbationPropagationGeometry,0.6971,0.6599,0.6582,0.6515,0.655,0.6373,0.6639,FIELD-PARTIAL
32,Projection,PerturbationPropagationGeometry,0.6203,0.5958,0.6062,0.6073,0.5943,0.5655,0.5919,FIELD-DEGRADING
40,Projection,PerturbationPropagationGeometry,0.5714,0.5408,0.548,0.5498,0.5222,0.5355,0.535,FIELD-DEGRADING
48,Projection,PerturbationPropagationGeometry,0.5221,0.509,0.5037,0.4904,0.4774,0.4779,0.4865,FIELD-DEGRADING
64,Projection,PerturbationPropagationGeometry,0.4566,0.4297,0.4318,0.4279,0.41,0.4057,0.4169,FIELD-FAILED
80,Projection,PerturbationPropagationGeometry,0.3911,0.3795,0.3767,0.3772,0.364,0.3646,0.3719,FIELD-FAILED
96,Projection,PerturbationPropagationGeometry,0.3456,0.3406,0.3326,0.3332,0.3261,0.3168,0.3263,FIELD-FAILED
128,Projection,PerturbationPropagationGeometry,0.2864,0.2738,0.2756,0.2779,0.2642,0.2658,0.2755,FIELD-FAILED
160,Projection,PerturbationPropagationGeometry,0.2426,0.2302,0.2266,0.2347,0.2225,0.2224,0.2257,FIELD-FAILED
192,Projection,PerturbationPropagationGeometry,0.2123,0.206,0.2006,0.2042,0.1992,0.192,0.196,FIELD-FAILED
256,Projection,PerturbationPropagationGeometry,0.1676,0.1604,0.1558,0.1594,0.1567,0.1505,0.1558,FIELD-FAILED
320,Projection,PerturbationPropagationGeometry,0.1353,0.1307,0.1316,0.1302,0.1271,0.1287,0.1313,FIELD-FAILED
512,Projection,PerturbationPropagationGeometry,0.0922,0.0857,0.085,0.0854,0.0834,0.083,0.085,FIELD-FAILED
768,Projection,PerturbationPropagationGeometry,0.0614,0.0587,0.059,0.0587,0.0568,0.0575,0.0585,FIELD-FAILED
1024,Projection,PerturbationPropagationGeometry,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,AttractorFieldCoupling,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,AttractorFieldCoupling,0.96,0.94,0.9293,0.92,0.91,0.9,0.92,FIELD-STABLE
4,Projection,AttractorFieldCoupling,0.9509,0.9281,0.904,0.9011,0.8801,0.8803,0.92,FIELD-STABLE
6,Projection,AttractorFieldCoupling,0.9014,0.904,0.8801,0.8662,0.8446,0.8574,0.8822,FIELD-STABLE
8,Projection,AttractorFieldCoupling,0.8898,0.8667,0.8386,0.8341,0.8166,0.8136,0.854,FIELD-BOUNDED
12,Projection,AttractorFieldCoupling,0.8382,0.8133,0.7943,0.7836,0.7639,0.7624,0.7984,FIELD-BOUNDED
16,Projection,AttractorFieldCoupling,0.7692,0.7372,0.7412,0.7409,0.7293,0.7283,0.7487,FIELD-PARTIAL
20,Projection,AttractorFieldCoupling,0.7433,0.7169,0.6947,0.6982,0.6725,0.6842,0.7112,FIELD-PARTIAL
24,Projection,AttractorFieldCoupling,0.679,0.6626,0.6622,0.6498,0.6354,0.6497,0.6584,FIELD-PARTIAL
32,Projection,AttractorFieldCoupling,0.6331,0.6127,0.59,0.5978,0.5869,0.5868,0.5909,FIELD-DEGRADING
40,Projection,AttractorFieldCoupling,0.5749,0.5449,0.5462,0.5358,0.5296,0.5367,0.5471,FIELD-DEGRADING
48,Projection,AttractorFieldCoupling,0.5286,0.4982,0.5048,0.4876,0.4833,0.4862,0.5046,FIELD-FAILED
64,Projection,AttractorFieldCoupling,0.447,0.4244,0.4348,0.418,0.4252,0.4175,0.4312,FIELD-FAILED
80,Projection,AttractorFieldCoupling,0.3936,0.3723,0.3808,0.3682,0.3691,0.3553,0.3708,FIELD-FAILED
96,Projection,AttractorFieldCoupling,0.3517,0.3308,0.3273,0.33,0.3241,0.3224,0.337,FIELD-FAILED
128,Projection,AttractorFieldCoupling,0.2884,0.2807,0.2683,0.2689,0.2698,0.2617,0.272,FIELD-FAILED
160,Projection,AttractorFieldCoupling,0.2417,0.236,0.23,0.2255,0.2256,0.2282,0.2349,FIELD-FAILED
192,Projection,AttractorFieldCoupling,0.2106,0.2009,0.1968,0.1955,0.1938,0.1943,0.1998,FIELD-FAILED
256,Projection,AttractorFieldCoupling,0.1672,0.1587,0.1609,0.1568,0.1556,0.1549,0.1616,FIELD-FAILED
320,Projection,AttractorFieldCoupling,0.1375,0.1319,0.133,0.1312,0.1289,0.1291,0.13,FIELD-FAILED
512,Projection,AttractorFieldCoupling,0.0911,0.087,0.0857,0.0842,0.085,0.0823,0.0861,FIELD-FAILED
768,Projection,AttractorFieldCoupling,0.0622,0.0591,0.0585,0.0589,0.0577,0.0578,0.0595,FIELD-FAILED
1024,Projection,AttractorFieldCoupling,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,RecursiveFieldCoherencePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,RecursiveFieldCoherencePersistence,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
4,Projection,RecursiveFieldCoherencePersistence,0.9355,0.93,0.9019,0.8952,0.9092,0.87,0.9191,FIELD-STABLE
6,Projection,RecursiveFieldCoherencePersistence,0.9292,0.8918,0.8744,0.8843,0.8896,0.849,0.8595,FIELD-STABLE
8,Projection,RecursiveFieldCoherencePersistence,0.8745,0.8599,0.8587,0.8425,0.8345,0.8208,0.8398,FIELD-STABLE
12,Projection,RecursiveFieldCoherencePersistence,0.8352,0.8166,0.7787,0.7848,0.7778,0.7638,0.7877,FIELD-BOUNDED
16,Projection,RecursiveFieldCoherencePersistence,0.7808,0.7463,0.7308,0.7437,0.7486,0.7333,0.7366,FIELD-PARTIAL
20,Projection,RecursiveFieldCoherencePersistence,0.7152,0.7069,0.7044,0.698,0.689,0.6761,0.6783,FIELD-PARTIAL
24,Projection,RecursiveFieldCoherencePersistence,0.6928,0.6666,0.6665,0.6432,0.6656,0.6476,0.6528,FIELD-PARTIAL
32,Projection,RecursiveFieldCoherencePersistence,0.6115,0.6028,0.6011,0.6003,0.5848,0.5812,0.5993,FIELD-DEGRADING
40,Projection,RecursiveFieldCoherencePersistence,0.5679,0.5504,0.5418,0.5312,0.5451,0.522,0.5285,FIELD-DEGRADING
48,Projection,RecursiveFieldCoherencePersistence,0.5229,0.5101,0.5014,0.4982,0.4914,0.4843,0.4869,FIELD-DEGRADING
64,Projection,RecursiveFieldCoherencePersistence,0.4516,0.4274,0.4274,0.4239,0.4293,0.4156,0.4218,FIELD-FAILED
80,Projection,RecursiveFieldCoherencePersistence,0.3916,0.3795,0.3759,0.3684,0.3679,0.3652,0.3706,FIELD-FAILED
96,Projection,RecursiveFieldCoherencePersistence,0.349,0.3335,0.3317,0.3306,0.3308,0.316,0.3282,FIELD-FAILED
128,Projection,RecursiveFieldCoherencePersistence,0.2807,0.2732,0.2779,0.2686,0.2743,0.26,0.2756,FIELD-FAILED
160,Projection,RecursiveFieldCoherencePersistence,0.2437,0.2322,0.235,0.2292,0.2278,0.228,0.229,FIELD-FAILED
192,Projection,RecursiveFieldCoherencePersistence,0.2082,0.2036,0.2005,0.1982,0.1997,0.194,0.2017,FIELD-FAILED
256,Projection,RecursiveFieldCoherencePersistence,0.1642,0.1638,0.1579,0.1562,0.1553,0.1558,0.1588,FIELD-FAILED
320,Projection,RecursiveFieldCoherencePersistence,0.1379,0.1352,0.1307,0.1313,0.1297,0.1273,0.1319,FIELD-FAILED
512,Projection,RecursiveFieldCoherencePersistence,0.0902,0.0868,0.0865,0.0861,0.0856,0.085,0.0857,FIELD-FAILED
768,Projection,RecursiveFieldCoherencePersistence,0.0607,0.0602,0.059,0.0589,0.0591,0.0576,0.058,FIELD-FAILED
1024,Projection,RecursiveFieldCoherencePersistence,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Projection,NullFieldControl,0.8211,0.7877,0.8009,0.8174,0.7896,0.7493,0.7762,FIELD-BOUNDED
2,Projection,NullFieldControl,0.807,0.7961,0.7862,0.7854,0.7715,0.7668,0.7697,FIELD-BOUNDED
4,Projection,NullFieldControl,0.785,0.7483,0.7421,0.757,0.7189,0.7049,0.7483,FIELD-PARTIAL
6,Projection,NullFieldControl,0.7369,0.7311,0.7083,0.7497,0.6889,0.6948,0.6982,FIELD-PARTIAL
8,Projection,NullFieldControl,0.7326,0.6922,0.6874,0.6948,0.6866,0.6698,0.684,FIELD-PARTIAL
12,Projection,NullFieldControl,0.6846,0.6641,0.6453,0.6672,0.6346,0.6397,0.6468,FIELD-DEGRADING
16,Projection,NullFieldControl,0.629,0.6238,0.6042,0.628,0.592,0.5927,0.594,FIELD-DEGRADING
20,Projection,NullFieldControl,0.6048,0.58,0.5765,0.5944,0.5564,0.5433,0.5578,FIELD-DEGRADING
24,Projection,NullFieldControl,0.567,0.5434,0.5469,0.5642,0.5397,0.5172,0.529,FIELD-DEGRADING
32,Projection,NullFieldControl,0.5094,0.4892,0.5021,0.5024,0.4881,0.4708,0.4761,FIELD-FAILED
40,Projection,NullFieldControl,0.4717,0.45,0.4385,0.4589,0.4429,0.4372,0.4401,FIELD-FAILED
48,Projection,NullFieldControl,0.4269,0.4127,0.4037,0.41,0.4036,0.4005,0.4136,FIELD-FAILED
64,Projection,NullFieldControl,0.3569,0.3588,0.3519,0.3627,0.3491,0.3352,0.3471,FIELD-FAILED
80,Projection,NullFieldControl,0.3156,0.313,0.311,0.3051,0.3066,0.2893,0.3063,FIELD-FAILED
96,Projection,NullFieldControl,0.2885,0.2819,0.2792,0.2778,0.2635,0.2679,0.2679,FIELD-FAILED
128,Projection,NullFieldControl,0.2328,0.232,0.2194,0.2233,0.2196,0.2197,0.2254,FIELD-FAILED
160,Projection,NullFieldControl,0.1969,0.1942,0.1905,0.1935,0.1852,0.1837,0.1921,FIELD-FAILED
192,Projection,NullFieldControl,0.1737,0.1704,0.1657,0.1672,0.1599,0.1625,0.1645,FIELD-FAILED
256,Projection,NullFieldControl,0.1324,0.1331,0.1276,0.1306,0.128,0.1252,0.1284,FIELD-FAILED
320,Projection,NullFieldControl,0.1118,0.1076,0.1101,0.109,0.1052,0.1058,0.1077,FIELD-FAILED
512,Projection,NullFieldControl,0.0721,0.0703,0.0715,0.0708,0.0674,0.0674,0.0692,FIELD-FAILED
768,Projection,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1024,Projection,NullFieldControl,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,DistributedInfluenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Antisymmetry,DistributedInfluenceMapping,0.96,0.94,0.9115,0.9008,0.88,0.9,0.9197,FIELD-STABLE
4,Antisymmetry,DistributedInfluenceMapping,0.9562,0.8898,0.9043,0.8711,0.8794,0.8687,0.8858,FIELD-STABLE
6,Antisymmetry,DistributedInfluenceMapping,0.9203,0.8813,0.8486,0.8421,0.8429,0.8195,0.8309,FIELD-BOUNDED
8,Antisymmetry,DistributedInfluenceMapping,0.8568,0.8367,0.8263,0.8252,0.7919,0.817,0.8272,FIELD-BOUNDED
12,Antisymmetry,DistributedInfluenceMapping,0.8064,0.7932,0.7799,0.7725,0.7554,0.7519,0.7707,FIELD-BOUNDED
16,Antisymmetry,DistributedInfluenceMapping,0.7595,0.7436,0.7379,0.7032,0.7115,0.6926,0.6972,FIELD-PARTIAL
20,Antisymmetry,DistributedInfluenceMapping,0.7286,0.683,0.6936,0.6791,0.6707,0.6578,0.6614,FIELD-PARTIAL
24,Antisymmetry,DistributedInfluenceMapping,0.6725,0.6409,0.6581,0.6353,0.6182,0.6307,0.6214,FIELD-DEGRADING
32,Antisymmetry,DistributedInfluenceMapping,0.6059,0.6012,0.5811,0.578,0.5644,0.5541,0.5613,FIELD-DEGRADING
40,Antisymmetry,DistributedInfluenceMapping,0.5694,0.5351,0.5324,0.5281,0.5046,0.5058,0.5148,FIELD-DEGRADING
48,Antisymmetry,DistributedInfluenceMapping,0.5046,0.491,0.4824,0.4792,0.4733,0.4639,0.4859,FIELD-FAILED
64,Antisymmetry,DistributedInfluenceMapping,0.4394,0.4294,0.415,0.4047,0.4115,0.4038,0.4154,FIELD-FAILED
80,Antisymmetry,DistributedInfluenceMapping,0.3817,0.3713,0.3719,0.3594,0.3619,0.3566,0.3652,FIELD-FAILED
96,Antisymmetry,DistributedInfluenceMapping,0.3375,0.3302,0.3219,0.3244,0.3222,0.3216,0.3159,FIELD-FAILED
128,Antisymmetry,DistributedInfluenceMapping,0.2829,0.2653,0.2666,0.2573,0.2582,0.2641,0.2623,FIELD-FAILED
160,Antisymmetry,DistributedInfluenceMapping,0.2376,0.224,0.2216,0.2231,0.2187,0.2204,0.225,FIELD-FAILED
192,Antisymmetry,DistributedInfluenceMapping,0.2029,0.1961,0.1934,0.191,0.1913,0.1875,0.1931,FIELD-FAILED
256,Antisymmetry,DistributedInfluenceMapping,0.1644,0.1557,0.158,0.1495,0.1492,0.1533,0.1518,FIELD-FAILED
320,Antisymmetry,DistributedInfluenceMapping,0.1337,0.1269,0.1279,0.1271,0.1245,0.1263,0.127,FIELD-FAILED
512,Antisymmetry,DistributedInfluenceMapping,0.0885,0.0845,0.0828,0.0835,0.0813,0.081,0.0839,FIELD-FAILED
768,Antisymmetry,DistributedInfluenceMapping,0.0604,0.0592,0.0568,0.0562,0.0566,0.0568,0.0564,FIELD-FAILED
1024,Antisymmetry,DistributedInfluenceMapping,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,StabilizationGradientAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Antisymmetry,StabilizationGradientAnalysis,0.96,0.94,0.927,0.92,0.8887,0.8862,0.92,FIELD-STABLE
4,Antisymmetry,StabilizationGradientAnalysis,0.9538,0.8973,0.8817,0.8786,0.8886,0.8459,0.8909,FIELD-STABLE
6,Antisymmetry,StabilizationGradientAnalysis,0.927,0.8886,0.8434,0.8415,0.8573,0.8258,0.8332,FIELD-BOUNDED
8,Antisymmetry,StabilizationGradientAnalysis,0.8855,0.8596,0.8378,0.8212,0.8116,0.7859,0.8247,FIELD-BOUNDED
12,Antisymmetry,StabilizationGradientAnalysis,0.8326,0.777,0.7763,0.7816,0.7548,0.7469,0.7542,FIELD-BOUNDED
16,Antisymmetry,StabilizationGradientAnalysis,0.7723,0.7519,0.7211,0.7129,0.7038,0.7052,0.7155,FIELD-PARTIAL
20,Antisymmetry,StabilizationGradientAnalysis,0.7178,0.7079,0.677,0.671,0.664,0.6497,0.666,FIELD-PARTIAL
24,Antisymmetry,StabilizationGradientAnalysis,0.6932,0.6672,0.6365,0.6486,0.6307,0.6274,0.6409,FIELD-DEGRADING
32,Antisymmetry,StabilizationGradientAnalysis,0.6197,0.6054,0.5833,0.5728,0.5623,0.5541,0.5896,FIELD-DEGRADING
40,Antisymmetry,StabilizationGradientAnalysis,0.5712,0.5448,0.5236,0.5323,0.5107,0.5115,0.5149,FIELD-DEGRADING
48,Antisymmetry,StabilizationGradientAnalysis,0.5217,0.5008,0.4968,0.4921,0.4862,0.4793,0.4912,FIELD-DEGRADING
64,Antisymmetry,StabilizationGradientAnalysis,0.4412,0.4324,0.4143,0.4126,0.4157,0.4025,0.4215,FIELD-FAILED
80,Antisymmetry,StabilizationGradientAnalysis,0.3833,0.3806,0.3685,0.3603,0.3661,0.3592,0.3594,FIELD-FAILED
96,Antisymmetry,StabilizationGradientAnalysis,0.3451,0.3356,0.3238,0.3326,0.3175,0.31,0.326,FIELD-FAILED
128,Antisymmetry,StabilizationGradientAnalysis,0.2829,0.2699,0.2678,0.2645,0.2662,0.2564,0.2665,FIELD-FAILED
160,Antisymmetry,StabilizationGradientAnalysis,0.2391,0.2308,0.223,0.2249,0.2207,0.2179,0.2272,FIELD-FAILED
192,Antisymmetry,StabilizationGradientAnalysis,0.2042,0.1995,0.1998,0.1971,0.192,0.1896,0.1946,FIELD-FAILED
256,Antisymmetry,StabilizationGradientAnalysis,0.1617,0.156,0.1573,0.1577,0.1508,0.1489,0.1502,FIELD-FAILED
320,Antisymmetry,StabilizationGradientAnalysis,0.1361,0.1293,0.1291,0.1286,0.1233,0.123,0.128,FIELD-FAILED
512,Antisymmetry,StabilizationGradientAnalysis,0.0894,0.0854,0.0836,0.0846,0.0831,0.0818,0.0838,FIELD-FAILED
768,Antisymmetry,StabilizationGradientAnalysis,0.0607,0.0597,0.0577,0.0571,0.0574,0.0554,0.0576,FIELD-FAILED
1024,Antisymmetry,StabilizationGradientAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,FIELD-FAILED
1,Antisymmetry,FieldMediatedTransportTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Antisymmetry,FieldMediatedTransportTracking,0.96,0.9241,0.9245,0.9182,0.91,0.9,0.92,FIELD-STABLE
4,Antisymmetry,FieldMediatedTransportTracking,0.9284,0.9026,0.8817,0.884,0.8548,0.8557,0.8713,FIELD-STABLE
6,Antisymmetry,FieldMediatedTransportTracking,0.894,0.8556,0.8455,0.8332,0.8587,0.8557,0.8307,FIELD-BOUNDED
8,Antisymmetry,FieldMediatedTransportTracking,0.8549,0.8256,0.8365,0.813,0.8007,0.8074,0.8288,FIELD-BOUNDED
12,Antisymmetry,FieldMediatedTransportTracking,0.7991,0.7758,0.7677,0.7698,0.774,0.7717,0.759,FIELD-BOUNDED
16,Antisymmetry,FieldMediatedTransportTracking,0.7649,0.7334,0.7362,0.6985,0.7248,0.7183,0.7183,FIELD-PARTIAL
20,Antisymmetry,FieldMediatedTransportTracking,0.7119,0.6801,0.6883,0.6807,0.682,0.6613,0.6619,FIELD-PARTIAL
